Metabolite	Formula	Polarity (z)	Labeling	Ion Mode	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S04426	S04427	S04428	S04429	S04430	S04431	S04432	S04433	S04434	S04435	SQ319_B_0	SQ319_B_1	SQ319_B_2	SQ319_B_3	SQ319_B_4	SQ319_B_5
Beta-Alanine-13C-0	C3H7NO2-13C-0	+	13C	ESI	9.8	10.5	10.0	0.2	90.0550	90.0552	2.7	S04427	Yes	10.47	10.24	10.48	0.24	16	53215	84994	76593	83919	72333	82434	63965	50599	45692	44573	32328	26540	30228	29990	26220	28334
Beta-Alanine-13C-1	C3H7NO2-13C-1	+	13C	ESI	9.8	10.5	10.0	0.2	91.0583	91.0577	-6.7	S04434	No	10.47	10.40	10.47	0.06	8	2023	0	0	3739	5101	1996	2038	1686	12276	11144	0	0	0	0	0	0
Beta-Alanine-13C-2	C3H7NO2-13C-2	+	13C	ESI	9.8	10.5	10.0	0.2	92.0617	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Beta-Alanine-13C-3	C3H7NO2-13C-3	+	13C	ESI	9.8	10.5	10.0	0.2	93.0650	0.0000	0.0		No	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-Alanine-13C-0	C3H7NO2-13C-0	+	13C	ESI	10.6	11.2	10.0	0.2	90.0550	90.0552	2.7	S04432	No	11.11	11.06	11.13	0.07	16	1075756	1226890	856796	1293463	1496918	1395972	4698670	2973272	4605862	4667022	232764	250892	230027	223501	260712	228881
L-Alanine-13C-1	C3H7NO2-13C-1	+	13C	ESI	10.6	11.2	10.0	0.2	91.0583	91.0586	3.2	S04435	No	11.12	11.06	11.13	0.07	13	24652	43945	29820	79094	83320	88995	224791	183146	576287	620068	0	2386	0	1928	0	2305
L-Alanine-13C-2	C3H7NO2-13C-2	+	13C	ESI	10.6	11.2	10.0	0.2	92.0617	92.0619	2.6	S04435	No	11.12	11.09	11.13	0.04	10	125152	145576	64158	175268	192899	274535	931861	732167	1541646	1547417	0	0	0	0	0	0
L-Alanine-13C-3	C3H7NO2-13C-3	+	13C	ESI	10.6	11.2	10.0	0.2	93.0650	93.0652	1.9	S04435	Yes	11.12	11.09	11.13	0.04	11	4801030	5280686	5150669	4504337	5308810	5752600	23070404	20336240	26745644	27885438	0	0	0	0	9189	0
Sarcosine-13C-0	C3H7NO2-13C-0	+	13C	ESI	11.2	12.0	10.0	0.2	90.0550	90.0552	2.7	S04434	No	11.20	11.20	11.22	0.02	16	382755	463937	249768	369106	434856	547346	1952533	1537084	2530482	2212065	68518	91455	86633	96037	78059	73326
Sarcosine-13C-1	C3H7NO2-13C-1	+	13C	ESI	11.2	12.0	10.0	0.2	91.0583	91.0586	3.2	S04434	No	11.20	11.20	11.22	0.02	9	0	6671	9228	5915	12110	29730	62251	41591	222956	210023	0	0	0	0	0	0
Sarcosine-13C-2	C3H7NO2-13C-2	+	13C	ESI	11.2	12.0	10.0	0.2	92.0617	92.0619	2.6	S04434	No	11.20	11.20	11.22	0.02	10	36969	37569	38425	31949	57141	83798	233981	237726	780224	698712	0	0	0	0	0	0
Sarcosine-13C-3	C3H7NO2-13C-3	+	13C	ESI	11.2	12.0	10.0	0.2	93.0650	93.0652	1.9	S04434	Yes	11.20	11.20	11.22	0.02	10	2031118	2232162	2108420	1572980	2358508	2855921	10173713	10628184	16151558	14094997	0	0	0	0	0	0
Betaine-13C-0	C5H11NO2-13C-0	+	13C	ESI	7.0	8.2	10.0	0.2	118.0863	118.0861	-1.3	S04432	Yes	7.97	7.94	8.00	0.07	16	1599563	1018247	914697	1115921	1388791	1167586	3351263	1041295	1640229	2784380	118124	147565	125241	130814	138537	123734
