Metabolite,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B
Beta-Alanine-13C-0,96820.0,96820.0,96820.0,96820.0,96820.0,96820.0,96820.0,96820.0,96820.0,96820.0
Beta-Alanine-13C-1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12276.0,11144.0
Beta-Alanine-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Beta-Alanine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Alanine-13C-0,1075756.0,1226890.0,856796.0,1293463.0,1496918.0,1395972.0,4698670.0,2973272.0,4605862.0,4667022.0
L-Alanine-13C-1,24652.0,43945.0,29820.0,79094.0,83320.0,88995.0,224791.0,183146.0,576287.0,620068.0
L-Alanine-13C-2,125152.0,145576.0,64158.0,175268.0,192899.0,274535.0,931861.0,732167.0,1541646.0,1547417.0
L-Alanine-13C-3,4801030.0,5280686.0,5150669.0,4504337.0,5308810.0,5752600.0,23070404.0,20336240.0,26745644.0,27885438.0
Sarcosine-13C-0,382755.0,463937.0,257014.0,369106.0,434856.0,547346.0,1952533.0,1537084.0,2530482.0,2212065.0
Sarcosine-13C-1,10000.0,10000.0,10000.0,10000.0,12110.0,29730.0,62251.0,41591.0,222956.0,210023.0
Sarcosine-13C-2,36969.0,37569.0,38425.0,31949.0,57141.0,83798.0,233981.0,237726.0,780224.0,698712.0
Sarcosine-13C-3,2031118.0,2232162.0,2108420.0,1572980.0,2358508.0,2855921.0,10173713.0,10628184.0,16151558.0,14094997.0
Betaine-13C-0,1599563.0,1018247.0,914697.0,1115921.0,1388791.0,1167586.0,3351263.0,1041295.0,1640229.0,2784380.0
Betaine-13C-1,41868.0,26877.0,16865.0,14217.0,39228.0,26981.0,75763.0,22851.0,47434.0,29750.0
Betaine-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Betaine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Betaine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
Betaine-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Valine-13C-0,11328204.0,11661317.0,8612517.0,8620252.0,9322067.0,7725954.0,23109674.0,10624565.0,11928142.0,16050589.0
L-Valine-13C-1,558158.0,635112.0,320709.0,367905.0,365506.0,294644.0,1267166.0,529638.0,509213.0,828853.0
L-Valine-13C-2,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,16681.0,10000.0,12082.0,12276.0
L-Valine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Valine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,14097.0,10000.0,10000.0
L-Valine-13C-5,21073.0,13374.0,14183.0,10000.0,10000.0,10000.0,20760.0,334744.0,11821.0,18721.0
N-Acetyl-L-alanine-13C-0,126014.0,126014.0,126014.0,126014.0,126014.0,126014.0,126014.0,126014.0,126014.0,126014.0
N-Acetyl-L-alanine-13C-1,11278.0,11278.0,11278.0,11278.0,11278.0,11278.0,11278.0,11278.0,11278.0,11278.0
N-Acetyl-L-alanine-13C-2,42259.5,42259.5,42259.5,42259.5,42259.5,42259.5,42259.5,42259.5,42259.5,42259.5
N-Acetyl-L-alanine-13C-3,19520.5,19520.5,19520.5,19520.5,19520.5,19520.5,19520.5,19520.5,19520.5,19520.5
N-Acetyl-L-alanine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
N-Acetyl-L-alanine-13C-5,784873.5,784873.5,784873.5,784873.5,784873.5,784873.5,784873.5,784873.5,784873.5,784873.5
4-Hydroxyproline-13C-0,52527768.0,51749420.0,44861444.0,35423592.0,37598364.0,35463424.0,71808736.0,59573620.0,60893580.0,71741344.0
4-Hydroxyproline-13C-1,2867611.0,2827578.0,2442920.0,1906742.0,2138640.0,1726553.0,3959640.0,3348174.0,3528545.0,4198208.0
4-Hydroxyproline-13C-2,31163.0,31163.0,31163.0,31163.0,31163.0,31163.0,31163.0,32623.0,43311.0,35108.0
4-Hydroxyproline-13C-3,16989.0,16989.0,16989.0,16989.0,16989.0,16989.0,16989.0,16989.0,16989.0,16989.0
4-Hydroxyproline-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
4-Hydroxyproline-13C-5,144263.0,144263.0,144263.0,144263.0,144263.0,144263.0,144263.0,144263.0,144263.0,144263.0
L-Isoleucine-13C-0,23309526.0,25033886.0,17707794.0,16587162.0,16267296.0,16903468.0,32381342.0,24945308.0,24680690.0,35423024.0
L-Isoleucine-13C-1,1582482.0,1614298.0,1084312.0,989872.0,971588.0,1017953.0,2219833.0,1580852.0,1717251.0,2537110.0
L-Isoleucine-13C-2,18913.0,20497.0,10000.0,10000.0,10000.0,14740.0,22254.0,24467.0,29008.0,39697.0
L-Isoleucine-13C-3,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Isoleucine-13C-4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
L-Isoleucine-13C-5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,26098.0,10000.0,10000.0
L-Isoleucine-13C-6,60883.0,24750.0,18144.0,10000.0,10000.0,20522.0,24958.0,1153113.0,50485.0,67211.0
L-Leucine-13C-0,31414830.0,31048858.0,24205384.0,23652686.0,25939990.0,23027224.0,50719472.0,32309412.0,33811628.0,45092252.0
L-Leucine-13C-1,2050389.0,2167826.0,1655668.0,1527114.0,1744552.0,1386698.0,3310998.0,2186210.0,2272329.0,3198320.0
L-Leucine-13C-2,23587.0,23959.0,24939.0,15673.0,10000.0,10000.0,41856.0,30599.0,28697.0,50424.0
