,Metabolite,Formula,Polarity (z),mz,ppm,RT,RT_range,Detection,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,np_vs_p_ttest_pval,np_vs_p_Log2FoldChange,np_vs_p_impact_score,p_vs_np_ttest_pval,p_vs_np_Log2FoldChange,p_vs_np_impact_score
0,Beta-Alanine-13C-0,C3H7NO2-13C-0,+,90.055,2.7,10.47,0.24,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
1,Beta-Alanine-13C-1,C3H7NO2-13C-1,+,91.0583,-6.7,10.47,0.06,2,-,-,-,-,-,-,-,-,12276,11144,0.08250302108127118,-0.11835972595305724,0.0,0.08250302108127118,0.11835972595305723,0.0
2,Beta-Alanine-13C-2,C3H7NO2-13C-2,+,92.0617,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
3,Beta-Alanine-13C-3,C3H7NO2-13C-3,+,93.065,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
4,L-Alanine-13C-0,C3H7NO2-13C-0,+,90.055,2.7,11.11,0.07,10,1075756,1226890,856796,1293463,1496918,1395972,4698670,2973272,4605862,4667022,2.7567513847429564e-05,-1.790816782853266,342685.0,2.7567513847429564e-05,1.790816782853266,342685.0
5,L-Alanine-13C-1,C3H7NO2-13C-1,+,91.0583,3.2,11.12,0.07,10,24652,43945,29820,79094,83320,88995,224791,183146,576287,620068,0.005715200747752531,-2.7821898305732646,276.0,0.005715200747752531,2.7821898305732646,276.0
6,L-Alanine-13C-2,C3H7NO2-13C-2,+,92.0617,2.6,11.12,0.04,10,125152,145576,64158,175268,192899,274535,931861,732167,1541646,1547417,0.00030805765639299636,-2.8665300425135345,15994.0,0.00030805765639299636,2.8665300425135345,15994.0
7,L-Alanine-13C-3,C3H7NO2-13C-3,+,93.065,1.9,11.12,0.04,10,4801030,5280686,5150669,4504337,5308810,5752600,23070404,20336240,26745644,27885438,6.604376479736063e-07,-2.2554566720333025,107155000.0,6.604376479736063e-07,2.2554566720333025,107155000.0
8,Sarcosine-13C-0,C3H7NO2-13C-0,+,90.055,2.7,11.2,0.02,9,382755,463937,-,369106,434856,547346,1952533,1537084,2530482,2212065,1.2373212046064113e-05,-2.330502972706673,501470.0,1.2373212046064113e-05,2.330502972706673,501470.0
9,Sarcosine-13C-1,C3H7NO2-13C-1,+,91.0583,3.2,11.2,0.02,6,-,-,-,-,12110,29730,62251,41591,222956,210023,0.013104950919452431,-3.298525560221462,56.0,0.013104950919452431,3.298525560221462,56.0
10,Sarcosine-13C-2,C3H7NO2-13C-2,+,92.0617,2.6,11.2,0.02,10,36969,37569,38425,31949,57141,83798,233981,237726,780224,698712,0.005317377484359171,-3.355577023311472,515.0,0.005317377484359171,3.355577023311472,515.0
11,Sarcosine-13C-3,C3H7NO2-13C-3,+,93.065,1.9,11.2,0.02,10,2031118,2232162,2108420,1572980,2358508,2855921,10173713,10628184,16151558,14094997,1.5912998171849808e-05,-2.54076790615516,2734390.0,1.5912998171849808e-05,2.54076790615516,2734390.0
12,Betaine-13C-0,C5H11NO2-13C-0,+,118.0863,-1.3,7.97,0.07,10,1599563,1018247,914697,1115921,1388791,1167586,3351263,1041295,1640229,2784380,0.05011753402401335,-0.8763183018057497,62.0,0.05011753402401335,0.8763183018057498,62.0
13,Betaine-13C-1,C5H11NO2-13C-1,+,119.0896,-0.9,7.97,0.07,9,41868,26877,16865,-,39228,26981,75763,22851,47434,29750,0.17570548082299098,-0.6673850769218717,0.0,0.17570548082299098,0.6673850769218714,0.0
14,Betaine-13C-2,C5H11NO2-13C-2,+,120.093,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
15,Betaine-13C-3,C5H11NO2-13C-3,+,121.0963,-8.4,7.99,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
16,Betaine-13C-4,C5H11NO2-13C-4,+,122.0997,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
17,Betaine-13C-5,C5H11NO2-13C-5,+,123.103,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
18,L-Valine-13C-0,C5H11NO2-13C-0,+,118.0863,-1.3,9.04,0.06,10,11328204,11661317,8612517,8620252,9322067,7725954,23109674,10624565,11928142,16050589,0.03770984843998058,-0.6927487902771388,535.0,0.03770984843998058,0.6927487902771386,535.0
19,L-Valine-13C-1,C5H11NO2-13C-1,+,119.0896,-2.6,9.04,0.06,10,558158,635112,320709,367905,365506,294644,1267166,529638,509213,828853,0.05079935081024979,-0.8873847911476559,22.0,0.05079935081024979,0.8873847911476561,22.0
20,L-Valine-13C-2,C5H11NO2-13C-2,+,120.093,-2.2,9.04,0.03,3,-,-,-,-,-,-,16681,-,12082,12276,0.03783261015628195,-0.3516000628572091,0.0,0.03783261015628195,0.3516000628572092,0.0
21,L-Valine-13C-3,C5H11NO2-13C-3,+,121.0963,0.0,0.0,0.0,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
22,L-Valine-13C-4,C5H11NO2-13C-4,+,122.0997,-1.4,9.02,0.0,1,-,-,-,-,-,-,-,14097,-,-,0.24150397191306,-0.1406805099246752,0.0,0.24150397191306,0.14068050992467515,0.0
23,L-Valine-13C-5,C5H11NO2-13C-5,+,123.103,-1.1,9.02,0.05,7,21073,13374,14183,-,-,-,20760,334744,11821,18721,0.2210206329755486,-2.8805835058591165,2.0,0.2210206329755486,2.880583505859116,2.0
24,N-Acetyl-L-alanine-13C-0,C5H9NO3-13C-0,+,132.0655,-2.4,6.0,0.28,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
25,N-Acetyl-L-alanine-13C-1,C5H9NO3-13C-1,+,133.0689,-1.3,6.05,0.17,0,-,-,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
