,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B
Beta-Alanine-13C-0,,,,,,,,,100.0,100.0
L-Alanine-13C-0,82.15,81.68,85.96,78.63,78.86,81.42,83.76,87.73,86.24,86.56
Sarcosine-13C-0,84.38,83.03,100.0,81.3,84.81,84.44,84.28,87.65,87.15,87.15
Betaine-13C-0,2.55,2.57,1.81,0.0,2.75,2.26,2.21,2.15,2.81,1.06
L-Valine-13C-0,4.86,5.27,3.74,4.09,3.77,3.67,5.34,7.64,4.28,5.08
N-Acetyl-L-alanine-13C-0,,,,,,,,,,
4-Hydroxyproline-13C-0,5.18,5.18,5.16,5.11,5.38,4.64,5.23,5.37,5.54,5.57
L-Isoleucine-13C-0,6.66,6.22,5.86,5.63,5.64,5.87,6.54,10.04,6.79,6.95
L-Leucine-13C-0,6.93,6.72,6.8,6.24,6.46,5.87,6.32,14.79,6.56,7.09
Dihydroxyacetone phosphate-13C-0,100.0,,100.0,100.0,100.0,,100.0,100.0,100.0,100.0
D-Glyceraldehyde 3-phosphate-13C-0,,,,,,,,,,
Ribose 1-phosphate-13C-0,,,,,,,,,,
D-Ribose 5-phosphate-13C-0,100.0,,100.0,,100.0,,100.0,100.0,,100.0
Fructose 6-phosphate-13C-0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Glucose 6-phosphate-13C-0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
N-Acetylserine-13C-0,,,,,,,100.0,100.0,,
L-Glutamic acid-13C-0,40.6,40.84,41.9,45.8,45.16,45.81,40.0,41.93,37.71,37.18
Creatine-13C-0,4.14,3.24,3.56,2.87,2.35,3.15,2.67,5.85,3.3,4.83
L-Lysine-13C-0,,,,,,,,,,
L-Arginine-13C-0,6.42,5.98,6.41,6.12,6.19,5.96,6.69,5.99,6.27,6.65
L-Kynurenine-13C-0,0.0,0.0,0.0,0.0,0.0,,7.63,0.0,0.0,0.0
Inosine-13C-0,97.91,100.0,97.55,97.16,96.95,96.74,96.81,97.21,94.22,94.36
Xanthosine-13C-0,,,,,,,,,100.0,
