"Query","Match","HMDB","PubChem","KEGG","Comment"
"583","NA","NA","NA","NA","0"
"584","NA","NA","NA","NA","0"
"585","NA","NA","NA","NA","0"
"586","NA","NA","NA","NA","0"
"1107","NA","NA","NA","NA","0"
"1108","NA","NA","NA","NA","0"
"1109","NA","NA","NA","NA","0"
"1110","NA","NA","NA","NA","0"
"744","NA","NA","NA","NA","0"
"746","NA","NA","NA","NA","0"
"22","NA","NA","NA","NA","0"
"23","NA","NA","NA","NA","0"
"650","NA","NA","NA","NA","0"
"651","NA","NA","NA","NA","0"
"652","NA","NA","NA","NA","0"
"672","NA","NA","NA","NA","0"
"673","NA","NA","NA","NA","0"
"674","NA","NA","NA","NA","0"
"631","NA","NA","NA","NA","0"
"635","NA","NA","NA","NA","0"
"587","NA","NA","NA","NA","0"
"588","NA","NA","NA","NA","0"
"657","NA","NA","NA","NA","0"
"551","NA","NA","NA","NA","0"
"564","NA","NA","NA","NA","0"
"122","NA","NA","NA","NA","0"
"123","NA","NA","NA","NA","0"
"125","NA","NA","NA","NA","0"
"126","NA","NA","NA","NA","0"
"187","NA","NA","NA","NA","0"
"722","NA","NA","NA","NA","0"
"47","NA","NA","NA","NA","0"
"48","NA","NA","NA","NA","0"
"49","NA","NA","NA","NA","0"
"50","NA","NA","NA","NA","0"
"1099","NA","NA","NA","NA","0"
"214","NA","NA","NA","NA","0"
"1079","NA","NA","NA","NA","0"
"1090","NA","NA","NA","NA","0"
"1091","NA","NA","NA","NA","0"
"1092","NA","NA","NA","NA","0"
"1093","NA","NA","NA","NA","0"
"1094","NA","NA","NA","NA","0"
"1184","NA","NA","NA","NA","0"
"1191","NA","NA","NA","NA","0"
"943","NA","NA","NA","NA","0"
"944","NA","NA","NA","NA","0"
"955","NA","NA","NA","NA","0"
"957","NA","NA","NA","NA","0"
"958","NA","NA","NA","NA","0"
"959","NA","NA","NA","NA","0"
"960","NA","NA","NA","NA","0"
"832","NA","NA","NA","NA","0"
"818","NA","NA","NA","NA","0"
"819","NA","NA","NA","NA","0"
"820","NA","NA","NA","NA","0"
"821","NA","NA","NA","NA","0"
"480","NA","NA","NA","NA","0"
"481","NA","NA","NA","NA","0"
"482","NA","NA","NA","NA","0"
"1057","NA","NA","NA","NA","0"
"669","NA","NA","NA","NA","0"
"483","NA","NA","NA","NA","0"
"484","NA","NA","NA","NA","0"
"485","NA","NA","NA","NA","0"
"486","NA","NA","NA","NA","0"
"713","NA","NA","NA","NA","0"
"714","NA","NA","NA","NA","0"
"715","NA","NA","NA","NA","0"
"716","NA","NA","NA","NA","0"
"455","NA","NA","NA","NA","0"
"603","NA","NA","NA","NA","0"
"594","NA","NA","NA","NA","0"
"1135","NA","NA","NA","NA","0"
"637","NA","NA","NA","NA","0"
"638","NA","NA","NA","NA","0"
"639","NA","NA","NA","NA","0"
"640","NA","NA","NA","NA","0"
"641","NA","NA","NA","NA","0"
"691","NA","NA","NA","NA","0"
"692","NA","NA","NA","NA","0"
"695","NA","NA","NA","NA","0"
"920","NA","NA","NA","NA","0"
"921","NA","NA","NA","NA","0"
"325","NA","NA","NA","NA","0"
"707","NA","NA","NA","NA","0"
"708","NA","NA","NA","NA","0"
"709","NA","NA","NA","NA","0"
"710","NA","NA","NA","NA","0"
"337","NA","NA","NA","NA","0"
"262","NA","NA","NA","NA","0"
"903","NA","NA","NA","NA","0"
"904","NA","NA","NA","NA","0"
"643","NA","NA","NA","NA","0"
"644","NA","NA","NA","NA","0"
"645","NA","NA","NA","NA","0"
"604","NA","NA","NA","NA","0"
"605","NA","NA","NA","NA","0"
"697","NA","NA","NA","NA","0"
"698","NA","NA","NA","NA","0"
"699","NA","NA","NA","NA","0"
"734","NA","NA","NA","NA","0"
"743","NA","NA","NA","NA","0"
"1167","NA","NA","NA","NA","0"
"310","NA","NA","NA","NA","0"
"311","NA","NA","NA","NA","0"
"315","NA","NA","NA","NA","0"
"316","NA","NA","NA","NA","0"
"575","NA","NA","NA","NA","0"
"994","NA","NA","NA","NA","0"
"995","NA","NA","NA","NA","0"
