,Metabolite,Formula,Polarity (z),Labeling,Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,is_global_winner,RT,RT_min,RT_max,RT_range,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,np_Mean,p_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
0,Beta-Alanine-13C-0,C3H7NO2-13C-0,+,13C,ESI,9.8,10.5,10.0,0.2,90.055,90.0552,2.7,S04427,Yes,10.47,10.24,10.48,0.24,96820.0,96820.0,96820.0,96820.0,96820.0,96820.0,96820.0,96820.0,96820.0,96820.0,32328,26540,30228,29990,26220,28334,NA,NA,96820.0,96820.0,0.0,1.0,96820.0,96820.0,0.0,0
1,Beta-Alanine-13C-1,C3H7NO2-13C-1,+,13C,ESI,9.8,10.5,10.0,0.2,91.0583,91.0577,-6.7,S04434,No,10.47,10.4,10.47,0.06,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12276.0,11144.0,0,0,0,0,0,0,0.08250302108127118,12.120768268775647,10000.0,10855.0,-0.11835972595305726,0.921234454168586,10000.0,10427.5,0.0,2
2,Beta-Alanine-13C-2,C3H7NO2-13C-2,+,13C,ESI,9.8,10.5,10.0,0.2,92.0617,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
3,Beta-Alanine-13C-3,C3H7NO2-13C-3,+,13C,ESI,9.8,10.5,10.0,0.2,93.065,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
4,L-Alanine-13C-0,C3H7NO2-13C-0,+,13C,ESI,10.6,11.2,10.0,0.2,90.055,90.0552,2.7,S04432,No,11.11,11.06,11.13,0.07,1075756.0,1226890.0,856796.0,1293463.0,1496918.0,1395972.0,4698670.0,2973272.0,4605862.0,4667022.0,232764,250892,230027,223501,260712,228881,2.7567513847429564e-05,36274.58049116901,1224299.1666666667,4236206.5,-1.790816782853266,0.2890083773457849,723388.5,2730252.8333333335,342685.0,10
5,L-Alanine-13C-1,C3H7NO2-13C-1,+,13C,ESI,10.6,11.2,10.0,0.2,91.0583,91.0586,3.2,S04435,No,11.12,11.06,11.13,0.07,24652.0,43945.0,29820.0,79094.0,83320.0,88995.0,224791.0,183146.0,576287.0,620068.0,0,2386,0,1928,0,2305,0.005715200747752531,174.97198158669127,58304.333333333336,401073.0,-2.7821898305732646,0.14537087595857445,13309.5,229688.66666666666,276.0,10
6,L-Alanine-13C-2,C3H7NO2-13C-2,+,13C,ESI,10.6,11.2,10.0,0.2,92.0617,92.0619,2.6,S04435,No,11.12,11.09,11.13,0.04,125152.0,145576.0,64158.0,175268.0,192899.0,274535.0,931861.0,732167.0,1541646.0,1547417.0,0,0,0,0,0,0,0.00030805765639299636,3246.1455810216144,162931.33333333334,1188272.75,-2.8665300425135345,0.1371161068309724,10000.0,675602.0416666666,15994.0,10
7,L-Alanine-13C-3,C3H7NO2-13C-3,+,13C,ESI,10.6,11.2,10.0,0.2,93.065,93.0652,1.9,S04435,Yes,11.12,11.09,11.13,0.04,4801030.0,5280686.0,5150669.0,4504337.0,5308810.0,5752600.0,23070404.0,20336240.0,26745644.0,27885438.0,0,0,0,0,9189,0,6.604376479736063e-07,1514147.479430131,5133022.0,24509431.5,-2.2554566720333025,0.20943047985425528,14594.5,14821226.75,107155000.0,10
8,Sarcosine-13C-0,C3H7NO2-13C-0,+,13C,ESI,11.2,12.0,10.0,0.2,90.055,90.0552,2.7,S04434,No,11.2,11.2,11.22,0.02,382755.0,463937.0,257014.0,369106.0,434856.0,547346.0,1952533.0,1537084.0,2530482.0,2212065.0,68518,91455,86633,96037,78059,73326,1.2373212046064113e-05,80819.75773769249,409169.0,2058041.0,-2.3305029727066735,0.198814795234886,257014.0,1233605.0,501470.0,9
9,Sarcosine-13C-1,C3H7NO2-13C-1,+,13C,ESI,11.2,12.0,10.0,0.2,91.0583,91.0586,3.2,S04434,No,11.2,11.2,11.22,0.02,10000.0,10000.0,10000.0,10000.0,12110.0,29730.0,62251.0,41591.0,222956.0,210023.0,0,0,0,0,0,0,0.013104950919452431,76.30703893103808,13640.0,134205.25,-3.298525560221462,0.10163536821398567,10000.0,73922.625,56.0,6
10,Sarcosine-13C-2,C3H7NO2-13C-2,+,13C,ESI,11.2,12.0,10.0,0.2,92.0617,92.0619,2.6,S04434,No,11.2,11.2,11.22,0.02,36969.0,37569.0,38425.0,31949.0,57141.0,83798.0,233981.0,237726.0,780224.0,698712.0,0,0,0,0,0,0,0.005317377484359171,188.06263105101254,47641.833333333336,487660.75,-3.355577023311472,0.09769462343100882,10000.0,267651.2916666667,515.0,10
11,Sarcosine-13C-3,C3H7NO2-13C-3,+,13C,ESI,11.2,12.0,10.0,0.2,93.065,93.0652,1.9,S04434,Yes,11.2,11.2,11.22,0.02,2031118.0,2232162.0,2108420.0,1572980.0,2358508.0,2855921.0,10173713.0,10628184.0,16151558.0,14094997.0,0,0,0,0,0,0,1.5912998171849808e-05,62841.70897279472,2193184.8333333335,12762113.0,-2.5407679061551596,0.17185123132300534,10000.0,7477648.916666667,2734390.0,10
12,Betaine-13C-0,C5H11NO2-13C-0,+,13C,ESI,7.0,8.2,10.0,0.2,118.0863,118.0861,-1.3,S04432,Yes,7.97,7.94,8.0,0.07,1599563.0,1018247.0,914697.0,1115921.0,1388791.0,1167586.0,3351263.0,1041295.0,1640229.0,2784380.0,118124,147565,125241,130814,138537,123734,0.05011753402401335,19.95309664519526,1200800.8333333333,2204291.75,-0.8763183018057497,0.5447558533634821,402007.5,1702546.2916666665,62.0,10
13,Betaine-13C-1,C5H11NO2-13C-1,+,13C,ESI,7.0,8.2,10.0,0.2,119.0896,119.0895,-0.9,S04432,No,7.97,7.94,8.0,0.07,41868.0,26877.0,16865.0,14217.0,39228.0,26981.0,75763.0,22851.0,47434.0,29750.0,0,0,2060,4347,0,2027,0.17570548082299098,5.691342098812608,27672.666666666668,43949.5,-0.6673850769218717,0.6296469053497006,14217.0,35811.083333333336,0.0,9
14,Betaine-13C-2,C5H11NO2-13C-2,+,13C,ESI,7.0,8.2,10.0,0.2,120.093,0.0,0.0,NA,No,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
