Metabolite,S07375,S07376,S07377,S07372,S07373,S07374
1-Methylnicotinamide,41301.0,34903.0,44449.0,53928.0,38243.0,40980.0
"2,3-Diphosphoglyceric acid",10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
3-Hydroxybutyric acid,451836.5,451836.5,451836.5,451836.5,451836.5,451836.5
3-Phosphoglyceric acid,161285.0,230651.0,317383.0,496988.0,333174.0,305700.0
"4,5-Dihydroorotic acid",525851.0,532142.0,805926.0,328354.0,457986.0,549157.0
4-Hydroxyproline,513840.0,539020.0,537386.0,1859212.0,1967950.0,1554518.0
5'-Methylthioadenosine,3480164.0,4471134.0,5393747.0,7037084.0,6061640.0,5028520.0
5-Phosphoribosylamine,10819.5,10819.5,10819.5,10819.5,10819.5,10819.5
6-Phosphogluconic acid,18003.5,18003.5,20488.0,24981.0,21723.0,18003.5
Acetoacetic acid,79494.5,79494.5,79494.5,79494.5,79494.5,79494.5
Acetyl-CoA,11045.0,11045.0,11045.0,18906.0,29499.0,30943.0
Acetylcysteine,19859.0,39754.0,33955.0,39347.0,11684.0,19909.0
Adenine,7323326.0,12328012.0,12442605.0,17976088.0,7658228.0,4812949.0
Adenosine,2504068.0,4899182.0,4408412.0,2715622.0,3329470.0,2435525.0
Adenosine diphosphate ribose,11035.5,11035.5,11035.5,15932.0,11035.5,11035.5
Adenosine monophosphate,482972.0,685039.0,668916.0,543283.0,823875.0,569126.0
Adenosine triphosphate,693843.0,1082941.0,1832475.0,1837310.0,1537934.0,1387639.0
Adenylsuccinic acid,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
ADP,526830.0,731265.0,1076431.0,908056.0,712704.0,574482.0
Allantoin,10000.0,10000.0,10816.0,10000.0,10000.0,10000.0
Aminoadipic acid,1173831.0,1305643.0,1393893.0,957402.0,768547.0,797128.0
Argininosuccinic acid,12267.0,12267.0,12267.0,12267.0,12267.0,12267.0
Beta-Alanine,236384.0,198939.0,274170.0,225131.0,267484.0,236540.0
Betaine,4489595.0,4825078.0,4824246.0,4718820.0,4132714.0,4073310.0
Butyrylcarnitine,2409055.0,2814084.0,3011974.0,1826202.0,1352688.0,1480312.0
