Metabolite,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
1-Methylnicotinamide,0,0,0,0,0,0,53928,38243,40980,41301,34903,44449
"2,3-Diphosphoglyceric acid",0,0,0,0,0,0,0,0,0,0,0,0
3-Hydroxybutyric acid,0,0,0,0,0,0,0,0,0,0,0,0
3-Phosphoglyceric acid,0,0,148911,0,139820,216065,496988,333174,305700,161285,230651,317383
"4,5-Dihydroorotic acid",201465,250807,419284,457057,468052,502788,328354,457986,549157,525851,532142,805926
4-Hydroxyproline,1008014,1211158,1325774,808215,733571,881612,1859212,1967950,1554518,513840,539020,537386
5'-Methylthioadenosine,4518665,5071175,5726384,5141716,5063696,5718389,7037084,6061640,5028520,3480164,4471134,5393747
5-Phosphoribosylamine,0,0,0,0,0,0,0,0,0,0,0,0
6-Phosphogluconic acid,0,0,0,0,0,0,24981,21723,0,0,0,20488
Acetoacetic acid,0,0,0,0,0,0,0,0,0,0,0,0
Acetyl-CoA,17401,0,15224,16873,0,0,18906,29499,30943,0,0,0
Acetylcysteine,21346,21695,15965,30226,36033,28530,39347,0,19909,19859,39754,33955
Adenine,12926249,13067788,11609501,16554408,18198726,8943207,17976088,7658228,4812949,7323326,12328012,12442605
Adenosine,8448977,6862284,4104250,5891624,4849338,2920210,2715622,3329470,2435525,2504068,4899182,4408412
Adenosine diphosphate ribose,0,0,0,0,0,0,15932,0,0,0,0,0
Adenosine monophosphate,452717,481183,473935,492704,527928,510543,543283,823875,569126,482972,685039,668916
Adenosine triphosphate,0,0,581912,0,504461,917507,1837310,1537934,1387639,693843,1082941,1832475
Adenylsuccinic acid,0,0,0,0,0,0,0,0,0,0,0,0
ADP,0,0,0,0,0,530238,908056,712704,574482,0,731265,1076431
Allantoin,0,0,0,0,12758,0,0,0,0,0,0,10816
Aminoadipic acid,519936,595390,592455,688336,621874,730578,957402,768547,797128,1173831,1305643,1393893
Argininosuccinic acid,0,14369,13201,0,0,0,0,0,0,0,0,0
Beta-Alanine,202746,184091,204058,0,0,0,225131,267484,236540,236384,198939,274170
Betaine,3975192,4351522,4077081,4315232,4630938,4650396,4718820,4132714,4073310,4489595,4825078,4824246
Butyrylcarnitine,803112,960425,1015239,1232902,1176140,1418194,1826202,1352688,1480312,2409055,2814084,3011974
Carbamoyl phosphate,4821333,5834736,6190656,5833046,6249730,6226578,8476653,7960298,8351284,8242906,8334318,8563056
Carnosine,0,0,0,0,0,0,0,0,0,0,0,0
CDP,0,0,0,0,0,0,0,0,0,0,0,0
Choline,1151845,1080482,1391928,1394276,1286792,1736901,1610363,1142117,1749697,2276984,2875430,2604378
cis-Aconitic acid,1086962,1302028,1930565,1677169,2315418,2111222,3227532,2875767,2384757,2551038,3516876,4647682
Citric acid,0,0,4528466,0,4390333,5689788,10219116,8156070,7031892,6483171,8857884,13614272
Citrulline,0,407552,0,0,0,0,209622,252183,218097,0,0,2219632
Creatine,255044896,277924096,273458400,320824960,326779712,322783104,475977472,436667424,420509664,505485984,569474752,568118976
