,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T10,T11,T12,T1,T2,T3,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,SG1 minus Dox_Mean,Tom plus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
0,1-Methylnicotinamide,C7H8N2O,[M+H]+,19.0,21.0,15,0.2,137.0709,137.0708,-1.0,S07372,20.22,20.11,20.46,0.35,41301.0,34903.0,44449.0,29987.5,29987.5,29987.5,9115,6687,6796,5673,8484,3220,0.021912843232293738,45.63533766016563,40217.666666666664,29987.5,0.423468129818765,1.341147700430735,29987.5,35102.58333333333,2.0,3
1,"2,3-Diphosphoglyceric acid",C3H8O10P2,[M-H]-,12.0,15.0,15,0.2,264.952,264.9531,4.2,S07377,13.29,13.17,13.4,0.23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
2,3-Hydroxybutyric acid,C4H8O3,[M-H]-,5.7,7.7,15,0.2,103.0401,103.0388,-12.3,S07376,7.29,7.16,7.53,0.37,451836.5,451836.5,451836.5,451836.5,451836.5,451836.5,152369,141953,141862,138170,156211,153108,NA,NA,451836.5,451836.5,0.0,1.0,451836.5,451836.5,0.0,0
3,3-Phosphoglyceric acid,C3H7O7P,[M-H]-,13.0,15.0,15,0.2,184.9857,184.9847,-5.2,S07372,14.26,14.24,14.46,0.22,161285.0,230651.0,317383.0,105810.5,105810.5,148911.0,9168,4255,59089,15946,79284,23879,0.07017496643360205,14.25009587922179,236439.66666666666,120177.33333333333,0.9763072770299237,1.9674231413577712,105810.5,178308.5,5.0,4
4,"4,5-Dihydroorotic acid",C5H6N2O4,[M-H]-,7.5,9.5,15,0.2,157.0255,157.0243,-7.5,S07377,8.55,8.49,8.65,0.16,525851.0,532142.0,805926.0,201465.0,250807.0,419284.0,0,0,0,1541,0,0,0.04343663918749545,23.022038967689753,621306.3333333334,290518.6666666667,1.0966738966287795,2.1386107146299262,10770.5,455912.5,22.0,6
5,4-Hydroxyproline,C5H9NO3,[M+H]+,10.2,11.2,15,0.2,132.0655,132.0659,2.9,S07373,10.92,10.85,11.0,0.16,513840.0,539020.0,537386.0,1008014.0,1211158.0,1325774.0,65034,15269,97246,11904,58112,13379,0.0022083196917719703,452.8329859693428,530082.0,1181648.6666666667,-1.156513693459027,0.4485952677417371,140472.0,855865.3333333334,864.0,6
6,5'-Methylthioadenosine,C11H15N5O3S,[M+H]+,3.0,5.0,15,0.2,298.0968,298.0957,-3.8,S07372,4.36,4.19,4.48,0.29,3480164.0,4471134.0,5393747.0,4518665.0,5071175.0,5726384.0,38963,3893,45335,2903,37009,3516,0.371598556262593,2.691076117349988,4448348.333333333,5105408.0,-0.19875649458036918,0.8713012423949923,75809.5,4776878.166666666,15.0,6
7,5-Phosphoribosylamine,C5H12NO7P,[M-H]-,11.5,13.5,15,0.2,228.0279,228.0269,-4.2,S07370,12.78,12.62,13.0,0.38,10819.5,10819.5,10819.5,10819.5,10819.5,10819.5,0,0,0,0,1639,0,NA,NA,10819.5,10819.5,0.0,1.0,10819.5,10819.5,0.0,0
8,6-Phosphogluconic acid,C6H13O10P,[M-H]-,14.0,17.0,15,0.2,275.0174,275.0165,-3.1,S07372,15.21,15.08,15.41,0.33,18003.5,18003.5,20488.0,18003.5,18003.5,18003.5,0,0,5589,0,8508,1910,0.37390096630005787,2.674504989638068,18831.666666666668,18003.5,0.06488328570857128,1.0460003147536128,18003.5,18417.583333333336,0.0,1
9,Acetoacetic acid,C4H6O3,[M-H]-,8.3,10.3,15,0.2,101.0244,101.023,-14.0,S07375,9.94,9.74,10.12,0.39,79494.5,79494.5,79494.5,79494.5,79494.5,79494.5,22873,17356,25386,20772,27960,24642,NA,NA,79494.5,79494.5,0.0,1.0,79494.5,79494.5,0.0,0
