Metabolite,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5
1-Methylnicotinamide,9115,6687,6796,5673,8484,3220
"2,3-Diphosphoglyceric acid",0,0,0,0,0,0
3-Hydroxybutyric acid,152369,141953,141862,138170,156211,153108
3-Phosphoglyceric acid,9168,4255,59089,15946,79284,23879
"4,5-Dihydroorotic acid",0,0,0,1541,0,0
4-Hydroxyproline,65034,15269,97246,11904,58112,13379
5'-Methylthioadenosine,38963,3893,45335,2903,37009,3516
5-Phosphoribosylamine,0,0,0,0,1639,0
6-Phosphogluconic acid,0,0,5589,0,8508,1910
Acetoacetic acid,22873,17356,25386,20772,27960,24642
Acetyl-CoA,0,0,2090,0,0,0
Acetylcysteine,1612,1756,0,0,0,0
Adenine,216293,65812,188670,71255,220672,135251
Adenosine,41513,25534,28949,33514,38527,53844
Adenosine diphosphate ribose,0,0,0,0,2071,0
Adenosine monophosphate,132590,31211,178244,67383,319356,102659
Adenosine triphosphate,20845,2030,188101,32227,306229,61790
Adenylsuccinic acid,0,0,0,0,0,0
ADP,42121,24985,257624,98414,450406,160110
Allantoin,0,0,0,0,0,0
Aminoadipic acid,1763,1859,4351,2345,2424,1782
Argininosuccinic acid,1540,0,1832,0,1162,0
Beta-Alanine,39023,27089,90703,46847,74594,58506
Betaine,383751,385142,413825,385400,437101,433375
Butyrylcarnitine,3318,2851,5701,2450,2885,5608
Carbamoyl phosphate,632114,32535,1166884,41117,952212,28699
Carnosine,0,0,0,0,0,0
CDP,2528,1427,11957,5467,14305,7619
Choline,84213,19853,105521,17292,320653,15686
cis-Aconitic acid,101856,32712,493736,87525,777404,103227
Citric acid,1971576,958014,1945152,776307,2055455,717657
Citrulline,26245,27566,37109,27048,113805,24965
Creatine,7687539,143192,14419734,695502,22296378,879882
Creatinine,83253,39894,289210,82828,461983,125217
Cyclic AMP,0,0,0,1494,2096,2269
Cytidine,13337,4179,2117,3018,3077,3107
Cytidine monophosphate,2421,0,3386,0,4464,0
Cytidine triphosphate,0,0,6347,0,10475,1999
Cytosine,15031,20593,21890,12642,21568,15684
D-2-Hydroxyglutaric acid,120866,31243,146370,26647,440326,31345
D-Glucose,80552,14368,70116,13938,150197,13168
D-Glyceraldehyde 3-phosphate,22965,5762,87834,30998,145307,32583
Dihydrofolic acid,0,0,0,0,0,0
Dihydroxyacetone phosphate,26406,2347,96241,9628,144349,14093
D-Ribose 5-phosphate,8960,0,25078,6862,31708,7063
D-Sedoheptulose 7-phosphate,14699,2313,32436,8124,29695,8868
dTDP,0,0,3171,1890,2636,1286
FAD,0,0,0,0,2140,0
Folic acid,1468,0,0,0,5235,0
