,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T1,T2,T3,T4,T5,T6,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,Tom plus Dox_Mean,Tom minus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
0,1-Methylnicotinamide,C7H8N2O,[M+H]+,19.0,21.0,15,0.2,137.0709,137.0708,-1.0,S07372,20.22,20.11,20.46,0.35,29987.5,29987.5,29987.5,29987.5,29987.5,29987.5,9115,6687,6796,5673,8484,3220,NA,NA,29987.5,29987.5,0.0,1.0,29987.5,29987.5,0.0,0
1,"2,3-Diphosphoglyceric acid",C3H8O10P2,[M-H]-,12.0,15.0,15,0.2,264.952,264.9531,4.2,S07377,13.29,13.17,13.4,0.23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
2,3-Hydroxybutyric acid,C4H8O3,[M-H]-,5.7,7.7,15,0.2,103.0401,103.0388,-12.3,S07376,7.29,7.16,7.53,0.37,451836.5,451836.5,451836.5,451836.5,451836.5,451836.5,152369,141953,141862,138170,156211,153108,NA,NA,451836.5,451836.5,0.0,1.0,451836.5,451836.5,0.0,0
3,3-Phosphoglyceric acid,C3H7O7P,[M-H]-,13.0,15.0,15,0.2,184.9857,184.9847,-5.2,S07372,14.26,14.24,14.46,0.22,105810.5,105810.5,148911.0,105810.5,139820.0,216065.0,9168,4255,59089,15946,79284,23879,0.39743144828583,2.5161571997211625,120177.33333333333,153898.5,-0.3568143554851584,0.7808869698751666,105810.5,137037.91666666666,0.0,3
4,"4,5-Dihydroorotic acid",C5H6N2O4,[M-H]-,7.5,9.5,15,0.2,157.0255,157.0243,-7.5,S07377,8.55,8.49,8.65,0.16,201465.0,250807.0,419284.0,457057.0,468052.0,502788.0,0,0,0,1541,0,0,0.05122171053946153,19.522971596772305,290518.6666666667,475965.6666666667,-0.712226645896441,0.6103773591512553,10770.5,383242.1666666667,12.0,6
5,4-Hydroxyproline,C5H9NO3,[M+H]+,10.2,11.2,15,0.2,132.0655,132.0659,2.9,S07373,10.92,10.85,11.0,0.16,1008014.0,1211158.0,1325774.0,808215.0,733571.0,881612.0,65034,15269,97246,11904,58112,13379,0.02166322517747922,46.16117830135403,1181648.6666666667,807799.3333333334,0.5487322898875681,1.4627997547245644,140472.0,994724.0,67.0,6
6,5'-Methylthioadenosine,C11H15N5O3S,[M+H]+,3.0,5.0,15,0.2,298.0968,298.0957,-3.8,S07372,4.36,4.19,4.48,0.29,4518665.0,5071175.0,5726384.0,5141716.0,5063696.0,5718389.0,38963,3893,45335,2903,37009,3516,0.643722954472598,1.553463323083297,5105408.0,5307933.666666667,-0.05612408238009846,0.9618447253893715,75809.5,5206670.833333334,8.0,6
7,5-Phosphoribosylamine,C5H12NO7P,[M-H]-,11.5,13.5,15,0.2,228.0279,228.0269,-4.2,S07370,12.78,12.62,13.0,0.38,10819.5,10819.5,10819.5,10819.5,10819.5,10819.5,0,0,0,0,1639,0,NA,NA,10819.5,10819.5,0.0,1.0,10819.5,10819.5,0.0,0
8,6-Phosphogluconic acid,C6H13O10P,[M-H]-,14.0,17.0,15,0.2,275.0174,275.0165,-3.1,S07372,15.21,15.08,15.41,0.33,18003.5,18003.5,18003.5,18003.5,18003.5,18003.5,0,0,5589,0,8508,1910,NA,NA,18003.5,18003.5,0.0,1.0,18003.5,18003.5,0.0,0
9,Acetoacetic acid,C4H6O3,[M-H]-,8.3,10.3,15,0.2,101.0244,101.023,-14.0,S07375,9.94,9.74,10.12,0.39,79494.5,79494.5,79494.5,79494.5,79494.5,79494.5,22873,17356,25386,20772,27960,24642,NA,NA,79494.5,79494.5,0.0,1.0,79494.5,79494.5,0.0,0
10,Acetyl-CoA,C23H38N7O17P3S,[M+H]+,8.0,11.0,15,0.2,810.1331,810.1262,-8.5,S07374,9.74,9.65,9.88,0.23,17401.0,11045.0,15224.0,16873.0,11045.0,11045.0,0,0,2090,0,0,0,0.591401501298777,1.6908986497394742,14556.666666666666,12987.666666666666,0.1645377674942296,1.1208069193850576,11045.0,13772.166666666666,0.0,3
11,Acetylcysteine,C5H9NO3S,[M+H]+,6.0,8.0,15,0.2,164.0376,164.0374,-1.2,S07376,6.98,6.77,7.23,0.45,21346.0,21695.0,15965.0,30226.0,36033.0,28530.0,1612,1756,0,0,0,0,0.015257192581301818,65.54285755201991,19668.666666666668,31596.333333333332,-0.6838579863225374,0.6224983911635317,11684.0,25632.5,3.0,6
12,Adenine,C5H5N5,[M+H]+,5.0,7.0,15,0.2,136.0618,136.0614,-2.7,S07370,6.41,6.34,6.46,0.13,12926249.0,13067788.0,11609501.0,16554408.0,18198726.0,8943207.0,216293,65812,188670,71255,220672,135251,0.5207515033485529,1.9203017054579163,12534512.666666666,14565447.0,-0.21664407086495835,0.8605649154925809,458976.5,13549979.833333332,30.0,6
13,Adenosine,C10H13N5O4,[M+H]+,4.5,7.0,15,0.2,268.10400000000004,268.1033,-2.7,S07366,6.03,5.92,6.1,0.18,8448977.0,6862284.0,4104250.0,5891624.0,4849338.0,2920210.0,41513,25534,28949,33514,38527,53844,0.28066998286826217,3.5629032708829755,6471837.0,4553724.0,0.5071284196765493,1.4212185455244981,120940.5,5512780.5,28.0,6
14,Adenosine diphosphate ribose,C15H23N5O14P2,[M-H]-,10.9,12.9,15,0.2,558.0644,558.0624,-3.6,S07372,12.16,11.93,12.16,0.23,11035.5,11035.5,11035.5,11035.5,11035.5,11035.5,0,0,0,0,2071,0,NA,NA,11035.5,11035.5,0.0,1.0,11035.5,11035.5,0.0,0
15,Adenosine monophosphate,C10H14N5O7P,[M+H]+,9.8,11.8,15,0.2,348.0704,348.0678,-7.4,S07373,10.97,10.81,11.02,0.21,452717.0,481183.0,473935.0,492704.0,527928.0,510543.0,132590,31211,178244,67383,319356,102659,0.036362537010469,27.50083141096821,469278.3333333333,510391.6666666667,-0.12116092152725981,0.9194474831420314,425721.5,489835.0,15.0,6
16,Adenosine triphosphate,C10H16N5O13P3,[M-H]-,12.5,14.5,15,0.2,505.9885,505.98800000000006,-0.9,S07372,14.02,14.01,14.27,0.26,315611.0,315611.0,581912.0,315611.0,504461.0,917507.0,20845,2030,188101,32227,306229,61790,0.4285673991493017,2.3333552715045087,404378.0,579193.0,-0.5183396562169791,0.6981748743510368,315611.0,491785.5,2.0,3
