,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,T1,T2,T3,T4,T5,T6,TomminusDox_vs_TomplusDox_ttest_pval,TomminusDox_vs_TomplusDox_Log2FoldChange,TomminusDox_vs_TomplusDox_impact_score,TomplusDox_vs_TomminusDox_ttest_pval,TomplusDox_vs_TomminusDox_Log2FoldChange,TomplusDox_vs_TomminusDox_impact_score
0,1-Methylnicotinamide,C7H8N2O,[M+H]+,137.0709,-1.0,20.22,0.35,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
1,"2,3-Diphosphoglyceric acid",C3H8O10P2,[M-H]-,264.952,4.2,13.29,0.23,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
2,3-Hydroxybutyric acid,C4H8O3,[M-H]-,103.0401,-12.3,7.29,0.37,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
3,3-Phosphoglyceric acid,C3H7O7P,[M-H]-,184.9857,-5.2,14.26,0.22,3,-,-,148911,-,139820,216065,0.39743144828583005,0.35681435548515833,0.0,0.39743144828583005,-0.3568143554851584,0.0
4,"4,5-Dihydroorotic acid",C5H6N2O4,[M-H]-,157.0255,-7.5,8.55,0.16,6,201465,250807,419284,457057,468052,502788,0.051221710539461535,0.7122266458964409,12.0,0.051221710539461535,-0.7122266458964409,12.0
5,4-Hydroxyproline,C5H9NO3,[M+H]+,132.0655,2.9,10.92,0.16,6,1008014,1211158,1325774,808215,733571,881612,0.02166322517747922,-0.5487322898875682,67.0,0.02166322517747922,0.5487322898875681,67.0
6,5'-Methylthioadenosine,C11H15N5O3S,[M+H]+,298.0968,-3.8,4.36,0.29,6,4518665,5071175,5726384,5141716,5063696,5718389,0.643722954472598,0.05612408238009835,8.0,0.643722954472598,-0.056124082380098465,8.0
7,5-Phosphoribosylamine,C5H12NO7P,[M-H]-,228.0279,-4.2,12.78,0.38,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
8,6-Phosphogluconic acid,C6H13O10P,[M-H]-,275.0174,-3.1,15.21,0.33,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
9,Acetoacetic acid,C4H6O3,[M-H]-,101.0244,-14.0,9.94,0.39,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
10,Acetyl-CoA,C23H38N7O17P3S,[M+H]+,810.1331,-8.5,9.74,0.23,3,17401,-,15224,16873,-,-,0.591401501298777,-0.16453776749422958,0.0,0.591401501298777,0.1645377674942296,0.0
11,Acetylcysteine,C5H9NO3S,[M+H]+,164.0376,-1.2,6.98,0.45,6,21346,21695,15965,30226,36033,28530,0.015257192581301818,0.6838579863225375,3.0,0.015257192581301818,-0.6838579863225374,3.0
12,Adenine,C5H5N5,[M+H]+,136.0618,-2.7,6.41,0.13,6,12926249,13067788,11609501,16554408,18198726,8943207,0.5207515033485529,0.21664407086495835,30.0,0.5207515033485529,-0.21664407086495835,30.0
13,Adenosine,C10H13N5O4,[M+H]+,268.10400000000004,-2.7,6.03,0.18,6,8448977,6862284,4104250,5891624,4849338,2920210,0.28066998286826217,-0.5071284196765495,28.0,0.28066998286826217,0.5071284196765493,28.0
14,Adenosine diphosphate ribose,C15H23N5O14P2,[M-H]-,558.0644,-3.6,12.16,0.23,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
15,Adenosine monophosphate,C10H14N5O7P,[M+H]+,348.0704,-7.4,10.97,0.21,6,452717,481183,473935,492704,527928,510543,0.036362537010469,0.1211609215272597,15.0,0.036362537010469,-0.1211609215272598,15.0
16,Adenosine triphosphate,C10H16N5O13P3,[M-H]-,505.9885,-0.9,14.02,0.26,3,-,-,581912,-,504461,917507,0.4285673991493017,0.5183396562169793,2.0,0.4285673991493017,-0.5183396562169791,2.0
17,Adenylsuccinic acid,C14H18N5O11P,[M-H]-,462.0668,0.9,15.75,0.17,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
18,ADP,C10H15N5O10P2,[M-H]-,426.0221,-1.5,12.54,0.18,1,-,-,-,-,-,530238,0.373900966300059,0.003107524488342921,1.0,0.373900966300059,-0.0031075244883428327,1.0
19,Allantoin,C4H6N4O3,[M-H]-,157.0367,-7.1,10.31,0.3,1,-,-,-,-,12758,-,0.3739009663000585,0.1268847769487917,0.0,0.3739009663000585,-0.12688477694879166,0.0
20,Aminoadipic acid,C6H11NO4,[M-H]-,160.0615,-7.7,6.92,0.31,6,519936,595390,592455,688336,621874,730578,0.05051331475686624,0.2570033403760957,15.0,0.05051331475686624,-0.2570033403760956,15.0
21,Argininosuccinic acid,C10H18N4O6,[M-H]-,289.1154,-3.3,13.83,0.33,2,-,14369,13201,-,-,-,0.17137536984176313,-0.11436403722155795,0.0,0.17137536984176313,0.11436403722155808,0.0
22,Beta-Alanine,C3H7NO2,[M+H]+,90.055,3.8,10.48,0.25,3,202746,184091,204058,-,-,-,0.044919271646511987,-0.14297733371291876,5.0,0.044919271646511987,0.14297733371291854,5.0
23,Betaine,C5H11NO2,[M+H]+,118.0863,-1.3,8.04,0.1,6,3975192,4351522,4077081,4315232,4630938,4650396,0.06372037461205819,0.13246073742882414,75.0,0.06372037461205819,-0.13246073742882408,75.0
24,Butyrylcarnitine,C11H21NO4,[M+H]+,232.1543,-3.2,5.86,0.31,6,803112,960425,1015239,1232902,1176140,1418194,0.02259808964712654,0.461853322995763,67.0,0.02259808964712654,-0.4618533229957629,67.0
25,Carbamoyl phosphate,CH4NO5P,[M-H]-,139.9754,-8.8,27.87,0.28,6,4821333,5834736,6190656,5833046,6249730,6226578,0.3220877808419999,0.1201127310939578,20.0,0.3220877808419999,-0.12011273109395787,20.0
26,Carnosine,C9H14N4O3,[M+H]+,227.1139,-13.5,10.67,0.0,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
27,CDP,C9H15N3O11P2,[M+H]+,404.0255,0.8,14.44,0.32,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
28,Choline,C5H14NO,[Cat]+,104.10700000000001,1.1,11.01,0.15,6,1151845,1080482,1391928,1394276,1286792,1736901,0.18453065583157305,0.28569882967708965,9.0,0.18453065583157305,-0.28569882967708976,9.0
29,cis-Aconitic acid,C6H6O6,[M-H]-,173.0092,-6.1,15.25,0.16,6,1086962,1302028,1930565,1677169,2315418,2111222,0.13239348763774586,0.4988271243714453,19.0,0.13239348763774586,-0.4988271243714452,19.0
30,Citric acid,C6H8O7,[M-H]-,191.0197,-4.9,15.51,0.11,3,-,-,4528466,-,4390333,5689788,0.40349244850042587,0.1407665746178894,12.0,0.40349244850042587,-0.14076657461788955,12.0
31,Citrulline,C6H13N3O3,[M+H]+,176.10299999999998,-2.1,12.31,0.15,1,-,407552,-,-,-,-,0.373900966300059,-0.7211246039420454,1.0,0.373900966300059,0.7211246039420453,1.0
32,Creatine,C4H9N3O2,[M+H]+,132.0768,-2.7,11.12,0.1,6,255044896,277924096,273458400,320824960,326779712,322783104,0.0016308111616989444,0.26701673306894025,218508.0,0.0016308111616989444,-0.2670167330689404,218508.0
33,Creatinine,C4H7N3O,[M+H]+,114.0662,-0.8,6.7,0.12,6,2845381,2641810,2704647,2776357,4311767,2453912,0.4784653706018638,0.22010994410526352,7.0,0.4784653706018638,-0.22010994410526344,7.0
34,Cyclic AMP,C10H12N5O6P,[M-H]-,328.0452,-5.3,6.95,0.2,6,20946,18605,29287,19905,22570,13473,0.3660612322914213,-0.29911862291716085,0.0,0.3660612322914213,0.2991186229171608,0.0
35,Cytidine,C9H13N3O5,[M+H]+,244.0928,0.0,8.56,0.32,6,68630,58662,36161,73204,70083,41634,0.6337188185570274,0.17803321296214605,0.0,0.6337188185570274,-0.17803321296214605,0.0
36,Cytidine monophosphate,C9H14N3O8P,[M+H]+,324.0591,-7.2,12.55,0.09,6,28290,39399,59625,50889,65705,49911,0.2813466838204726,0.3871744278506941,0.0,0.2813466838204726,-0.3871744278506942,0.0
37,Cytidine triphosphate,C9H16N3O14P3,[M-H]-,481.9772,-3.0,16.01,0.25,1,-,-,-,-,-,33863,0.373900966300059,0.3198380352249326,0.0,0.373900966300059,-0.31983803522493265,0.0
38,Cytosine,C4H5N3O,[M+H]+,112.0505,0.5,9.46,0.39,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
39,D-2-Hydroxyglutaric acid,C5H8O5,[M-H]-,147.0299,-8.2,12.49,0.12,6,4289720,5644170,6074790,6797754,7049616,6786256,0.04731680471608137,0.3661430170501221,166.0,0.04731680471608137,-0.3661430170501223,166.0
40,D-Glucose,C6H12O6,[M-H]-,179.0561,-6.2,11.02,0.24,6,2071761,2206194,2758822,2527473,2747046,3183276,0.17208216058776826,0.2653667989499597,18.0,0.17208216058776826,-0.2653667989499597,18.0
41,D-Glyceraldehyde 3-phosphate,C3H7O6P,[M-H]-,168.9908,-5.6,13.46,0.14,3,-,-,177175,-,197708,234342,0.2019091016704571,0.21062393257236528,1.0,0.2019091016704571,-0.21062393257236545,1.0
42,Dihydrofolic acid,C19H21N7O6,[M+H]+,444.1626,-1.4,14.95,0.45,0,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
43,Dihydroxyacetone phosphate,C3H7O6P,[M-H]-,168.9908,-6.2,12.56,0.07,6,630052,812032,1045853,788205,1093515,1155034,0.33067056944944245,0.2875800903079191,3.0,0.33067056944944245,-0.2875800903079192,3.0
44,D-Ribose 5-phosphate,C5H11O8P,[M-H]-,229.0119,-3.4,12.88,0.23,6,84221,117989,124949,106542,142923,140781,0.28947280406642234,0.2543918855833837,0.0,0.28947280406642234,-0.25439188558338377,0.0
45,D-Sedoheptulose 7-phosphate,C7H15O10P,[M-H]-,289.033,-2.8,13.49,0.19,6,106189,126817,159427,110520,152318,145005,0.811411420575759,0.05556752662680108,0.0,0.811411420575759,-0.05556752662680107,0.0
