"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"38","NA","NA","NA","NA","NA","0"
"85","NA","NA","NA","NA","NA","0"
"182","5-Aminolevulinic acid","HMDB0001149","137","C00430","C(CC(=O)O)C(=O)CN","1"
"208","NA","NA","NA","NA","NA","0"
"210","NA","NA","NA","NA","NA","0"
"300","NA","NA","NA","NA","NA","0"
"390","NA","NA","NA","NA","NA","0"
"400","Guanine","HMDB0000132","764","C00242","C1=NC2=C(N1)C(=O)N=C(N2)N","1"
"476","Glycylleucine","HMDB0000759","92843","C02155","CC(C)C[C@@H](C(=O)O)NC(=O)CN","1"
"468","L-Threonine","HMDB0000167","6288","C00188","C[C@H]([C@@H](C(=O)O)N)O","1"
"490","NA","NA","NA","NA","NA","0"
"532","NA","NA","NA","NA","NA","0"
"602","Pyridoxine","HMDB0000239","1054","C00314","CC1=NC=C(C(=C1O)CO)CO","1"
