Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S10228	S10229	S10230	S10231	S10232	S10233	S10234	S10235	SQ567_Blank_0	SQ567_Blank_1	SQ567_Blank_2	SQ567_Blank_3	SQ567_Blank_4	SQ567_Blank_5	SQ567_ISTD_0	SQ567_ISTD_1	SQ567_ISTD_2
1-Methylnicotinamide	1         1-Methylnicotinamide	C7H8N2O	[M+H]+	19.0	21.0	15.0	0.2	137.0709	137.071	0.4	SQ567_Blank_0	20.66	20.42	20.9	0.48	17	9299	10197	12232	10145	8382	8787	11221	9898	21975	15437	11992	9587	9699	10329	15889	11334	11687
2,3-Diphosphoglyceric acid	2         2,3-Diphosphoglyceric acid	C3H8O10P2	[M-H]-	12.0	15.0	15.0	0.2	264.952	0.0	0.0		0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-Hydroxybutyric acid	3         3-Hydroxybutyric acid	C4H8O3	[M-H]-	5.7	7.7	15.0	0.2	103.0401	103.0387	-13.3	S10230	6.73	6.51	6.97	0.46	17	6016996	4720918	6784330	4962580	360666	363045	509518	449982	4046123	1338330	99665	71174	63559	57555	1137347	94526	59725
3-Phosphoglyceric acid	4         3-Phosphoglyceric acid	C3H7O7P	[M-H]-	13.0	15.0	15.0	0.2	184.9857	184.9854	-1.4	S10235	13.09	13.04	13.09	0.05	2	0	0	0	0	0	0	0	3755	0	0	0	0	0	0	3052	0	0
4,5-Dihydroorotic acid	5         4,5-Dihydroorotic acid	C5H6N2O4	[M-H]-	7.5	9.5	15.0	0.2	157.0255	157.0241	-8.8	S10230	7.69	7.59	7.85	0.26	8	0	0	7790	0	0	0	1323	1469	1720	0	0	1396	0	996	1424	0	1366
4-Hydroxyproline	6         4-Hydroxyproline	C5H9NO3	[M+H]+	10.2	11.2	15.0	0.2	132.0655	132.0673	13.5	S10230	10.67	10.43	10.77	0.34	17	93320288	93209128	102071768	94032904	15000817	21303470	24084724	24103990	14446038	19936	2389863	25306	932791	22149	19645	66429	28559
5'-Methylthioadenosine	7         5'-Methylthioadenosine	C11H15N5O3S	[M+H]+	3.0	5.0	15.0	0.2	298.0968	298.0967	-0.5	S10231	4.43	4.19	4.43	0.24	7	0	5125	0	5767	0	0	2465	0	0	2188	0	0	0	0	3276	1457	1735
5-Phosphoribosylamine	8         5-Phosphoribosylamine	C5H12NO7P	[M-H]-	11.5	13.5	15.0	0.2	228.0279	228.0252	-11.7	S10228	13.15	13.15	13.15	0.0	1	4041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6-Phosphogluconic acid	9         6-Phosphogluconic acid	C6H13O10P	[M-H]-	14.0	17.0	15.0	0.2	275.0174	275.0166	-2.8	SQ567_Blank_0	16.8	16.8	16.8	0.0	1	0	0	0	0	0	0	0	0	1919	0	0	0	0	0	0	0	0
Acetoacetic acid	10         Acetoacetic acid	C4H6O3	[M-H]-	8.3	10.3	15.0	0.2	101.0244	101.0232	-12.1	S10230	9.87	9.66	10.08	0.42	17	3308037	2383258	3464363	2664617	166059	201942	242552	280692	72814	24475	48268	24729	34582	20831	35004	24927	20582
Acetyl-CoA	11         Acetyl-CoA	C23H38N7O17P3S	[M+H]+	8.0	11.0	15.0	0.2	810.1331	810.1271	-7.4	S10229	10.78	10.54	10.92	0.38	9	43294	60664	0	0	29870	3272	0	9073	0	0	3346	4526	1914	0	9515	0	0
Acetylcysteine	12         Acetylcysteine	C5H9NO3S	[M+H]+	6.0	8.0	15.0	0.2	164.0376	164.0372	-2.4	S10231	7.1	6.86	7.23	0.37	10	143499	129886	156748	157683	25582	22755	21711	26334	0	0	1498	0	1726	0	0	0	0
Adenine	13         Adenine	C5H5N5	[M+H]+	5.0	7.0	15.0	0.2	136.0618	136.0616	-1.3	SQ567_Blank_0	6.95	6.71	6.95	0.24	17	42640	32511	45872	26142	17616	15872	24232	25919	2185063	66916	13965	16336	13915	14836	201613	21070	12797
Adenosine	14         Adenosine	C10H13N5O4	[M+H]+	4.5	7.0	15.0	0.2	268.10400000000004	268.1019	-7.9	SQ567_Blank_0	5.67	5.49	5.89	0.4	14	0	0	0	3814	2312	2860	4607	2998	34841	12225	2207	2681	2138	2034	10339	5373	2278
Adenosine diphosphate ribose	15         Adenosine diphosphate ribose	C15H23N5O14P2	[M-H]-	10.9	12.9	15.0	0.2	558.0644	558.0622	-4.0	S10229	12.49	12.49	12.49	0.0	1	0	1520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adenosine monophosphate	16         Adenosine monophosphate	C10H14N5O7P	[M+H]+	9.8	11.8	15.0	0.2	348.0704	348.0655	-14.0	S10229	9.79	9.78	9.79	0.02	2	0	13994	0	0	0	0	0	0	5200	0	0	0	0	0	0	0	0
Adenosine triphosphate	17         Adenosine triphosphate	C10H16N5O13P3	[M-H]-	12.5	14.5	15.0	0.2	505.9885	505.996	14.9	S10235	13.31	13.18	13.35	0.18	4	0	0	0	2612	0	0	2615	2762	0	0	0	0	0	0	1768	0	0
Adenylsuccinic acid	18         Adenylsuccinic acid	C14H18N5O11P	[M-H]-	14.5	16.5	15.0	0.2	462.0668	0.0	0.0		0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADP	19         ADP	C10H15N5O10P2	[M-H]-	11.1	13.1	15.0	0.2	426.0221	426.0223	0.4	SQ567_ISTD_0	11.61	11.61	11.61	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4195	0	0
Allantoin	20         Allantoin	C4H6N4O3	[M-H]-	9.3	11.3	15.0	0.2	157.0367	157.0357	-6.5	S10230	10.16	9.92	10.24	0.32	16	20718788	19007210	21768410	18954804	2111225	2193000	2143986	2508905	61494	1897	29723	7874	40761	8996	0	10302	10508
Aminoadipic acid	21         Aminoadipic acid	C6H11NO4	[M-H]-	5.9	7.9	15.0	0.2	160.0615	160.0607	-5.2	S10228	6.86	6.66	7.01	0.35	17	770769	515303	770419	584887	64951	58482	59563	64573	15067	7096	7696	9242	8362	6542	8365	6931	9331
Argininosuccinic acid	22         Argininosuccinic acid	C10H18N4O6	[M-H]-	12.5	14.5	15.0	0.2	289.1154	289.1138	-5.4	S10230	13.41	13.23	13.61	0.38	11	15819	11648	19283	11809	2814	7167	6197	7649	3286	0	1469	0	1368	0	0	0	0
Beta-Alanine	23         Beta-Alanine	C3H7NO2	[M+H]+	9.8	10.5	15.0	0.2	90.055	90.0554	4.9	S10230	10.31	10.07	10.48	0.41	17	4142242	3573894	4197017	3668139	64679	131575	142681	145774	3176705	20539	31913	17286	24681	18952	85212	21272	23198
Betaine	24         Betaine	C5H11NO2	[M+H]+	7.0	8.2	15.0	0.2	118.0863	118.0862	-0.5	S10228	7.94	7.69	7.97	0.28	17	1404434688	1236533888	1373805184	1314194944	68609264	77745288	81500072	89973536	4041574	941332	1167622	195901	651268	165194	461887	69390	66708
Butyrylcarnitine	25         Butyrylcarnitine	C11H21NO4	[M+H]+	4.2	6.2	15.0	0.2	232.1543	232.1538	-2.3	S10228	5.82	5.61	6.06	0.45	17	30241606	21131496	29507216	23297760	3320258	3141187	3232492	3464232	3570	2885	7198	2293	6934	5390	3378	2022	2291
Carbamoyl phosphate	26         Carbamoyl phosphate	CH4NO5P	[M-H]-	27.0	30.0	15.0	0.2	139.9754	139.9743	-8.1	S10231	27.6	27.6	27.85	0.25	17	3234544	2690228	3129102	3510592	1185999	1818357	1516091	1814968	51969	12007	182007	20613	116173	18100	111806	58896	43117
Carnosine	27         Carnosine	C9H14N4O3	[M+H]+	10.6	12.6	15.0	0.2	227.1139	227.1134	-2.1	S10228	11.85	11.61	11.85	0.25	14	63101740	43224584	59495944	53488320	4183525	6187292	7305232	7872542	2259352	0	199640	1887	81597	0	0	6858	8244
CDP	28         CDP	C9H15N3O11P2	[M+H]+	13.0	15.0	15.0	0.2	404.0255	404.0206	-12.0	S10230	13.08	13.08	13.16	0.09	2	0	1819	2288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Choline	29         Choline	C5H14NO	[Cat]+	11.0	15.0	15.0	0.2	104.10700000000001	104.1072	2.0	S10228	14.99	14.75	15.0	0.24	17	11710446	5205050	9257233	7650890	363233	1128327	828377	1756109	1898677	13502	14643	10873	12355	11377	116988	13154	11130
cis-Aconitic acid	30         cis-Aconitic acid	C6H6O6	[M-H]-	14.1	16.1	15.0	0.2	173.0092	173.0082	-5.6	S10228	14.82	14.6	14.9	0.3	17	8266403	5843390	7319314	6023386	2214933	2909636	2984496	3077220	1781074	59611	1081058	63647	509353	37625	61800	176821	84998
Citric acid	31         Citric acid	C6H8O7	[M-H]-	14.2	16.2	15.0	0.2	191.0197	191.0189	-4.3	S10228	15.02	14.78	15.11	0.34	17	44853892	25693374	32286028	32420610	21101212	20080398	15341423	24844030	27977736	3040563	10668586	1899542	4856738	1921809	8330466	3517317	3393084
Citrulline	32         Citrulline	C6H13N3O3	[M+H]+	10.9	12.9	15.0	0.2	176.10299999999995	176.1028	-1.0	S10230	12.04	11.8	12.11	0.3	17	120519392	98183840	124790936	104895568	11428374	16482531	19665100	22147946	9841200	9916	1563582	15083	732080	13732	7675	29935	19637
Creatine	33         Creatine	C4H9N3O2	[M+H]+	10.0	11.5	15.0	0.2	132.0768	132.0765	-1.9	S10230	10.85	10.61	10.91	0.3	17	1286333824	1140518912	1351840256	1189758336	122325576	212094544	238311568	242781488	133285720	39384	18313884	182415	7825956	132645	24421	639591	167261
Creatinine	34         Creatinine	C4H7N3O	[M+H]+	5.2	7.2	15.0	0.2	114.0662	114.0662	0.1	S10230	6.63	6.4	6.63	0.23	17	858776192	814126656	862679296	772459712	48178416	50510224	55852576	57232060	4853630	2971006	2492072	1855980	1485590	1509839	2216275	1355589	940227
Cyclic AMP	35         Cyclic AMP	C10H12N5O6P	[M-H]-	5.8	7.8	15.0	0.2	328.0452	328.0458	1.7	S10230	6.73	6.66	6.76	0.1	5	7312	0	9151	6874	0	1381	0	0	2744	0	0	0	0	0	0	0	0
Cytidine	36         Cytidine	C9H13N3O5	[M+H]+	7.1	9.1	15.0	0.2	244.0928	244.0921	-2.9	S10230	8.39	8.14	8.45	0.31	17	12580692	10000084	13294613	10600248	1174130	1263474	1331220	1528004	91817	11396	18998	6884	16763	9139	11260	7522	7577
Cytidine monophosphate	37         Cytidine monophosphate	C9H14N3O8P	[M+H]+	11.8	13.8	15.0	0.2	324.0591	324.0567	-7.5	SQ567_Blank_0	12.03	12.03	12.03	0.0	1	0	0	0	0	0	0	0	0	4689	0	0	0	0	0	0	0	0
Cytidine triphosphate	38         Cytidine triphosphate	C9H16N3O14P3	[M-H]-	15.0	20.0	15.0	0.2	481.9772	481.9842	14.4	S10229	15.63	15.47	15.82	0.35	5	4893	7321	5780	6939	0	992	0	0	0	0	0	0	0	0	0	0	0
Cytosine	39         Cytosine	C4H5N3O	[M+H]+	9.0	11.0	15.0	0.2	112.0505	112.0507	1.4	SQ567_Blank_0	10.09	9.84	10.33	0.49	17	39408	26459	34593	33945	19598	21890	22341	20455	149302	30377	19983	23929	18460	19057	38795	22871	20199
D-2-Hydroxyglutaric acid	40         D-2-Hydroxyglutaric acid	C5H8O5	[M-H]-	11.6	13.6	15.0	0.2	147.0299	147.0287	-8.2	S10228	12.15	11.92	12.18	0.26	17	17652420	12300885	16597237	13254280	1980606	2013579	2352952	2464527	91160	13892	42197	10536	22389	10977	14083	10994	8875
D-Glucose	41         D-Glucose	C6H12O6	[M-H]-	9.0	11.0	15.0	0.2	179.0561	179.0552	-5.1	S10230	9.84	9.63	10.01	0.37	17	24436516	18395368	25898896	19111416	1928242	2228942	2521775	2656109	491628	13178	227330	9656	197204	8089	20507	13056	10271
D-Glyceraldehyde 3-phosphate	42         D-Glyceraldehyde 3-phosphate	C3H7O6P	[M-H]-	13.0	14.0	15.0	0.2	168.9908	168.9899	-5.0	S10235	13.15	13.01	13.17	0.16	6	6334	0	0	0	7047	5466	4779	12758	0	0	3877	0	0	0	0	0	0
Dihydrofolic acid	43         Dihydrofolic acid	C19H21N7O6	[M+H]+	13.0	16.0	15.0	0.2	444.1626	444.1676	11.2	S10230	13.47	13.47	13.47	0.0	1	0	0	1583	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dihydroxyacetone phosphate	44         Dihydroxyacetone phosphate	C3H7O6P	[M-H]-	12.0	13.0	15.0	0.2	168.9908	168.9895	-7.4	S10234	12.9	12.87	12.99	0.12	7	0	0	0	0	8150	6579	8188	7792	3039	0	3290	0	0	1280	0	0	0
D-Ribose 5-phosphate	45         D-Ribose 5-phosphate	C5H11O8P	[M-H]-	12.4	13.8	15.0	0.2	229.0119	229.0109	-4.3	S10235	12.58	12.41	12.58	0.17	9	3007	1790	1707	2048	6465	3033	2126	9882	3316	0	0	0	0	0	0	0	0
D-Sedoheptulose 7-phosphate	46         D-Sedoheptulose 7-phosphate	C7H15O10P	[M-H]-	12.2	14.2	15.0	0.2	289.033	289.032	-3.5	S10228	13.15	13.0	13.33	0.33	6	7131	0	5000	4723	3236	0	2822	0	0	0	1709	0	0	0	0	0	0
dTDP	47         dTDP	C10H16N2O11P2	[M-H]-	11.0	13.0	15.0	0.2	401.0157	401.0105	-12.9	SQ567_Blank_3	12.18	12.18	12.18	0.0	2	0	0	0	0	0	0	0	0	0	0	0	1262	0	1082	0	0	0
FAD	48         FAD	C27H33N9O15P2	[M+H]+	7.6	9.6	15.0	0.2	786.1644	786.1597	-6.0	S10235	8.0	8.0	8.03	0.03	2	0	0	0	0	4521	0	0	6464	0	0	0	0	0	0	0	0	0
Folic acid	49         Folic acid	C19H19N7O6	[M+H]+	13.0	16.0	15.0	0.2	442.147	0.0	0.0		0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fructose 1,6-bisphosphate	50         Fructose 1,6-bisphosphate	C6H14O12P2	[M-H]-	14.1	16.1	15.0	0.2	338.9888	338.9904	4.8	SQ567_Blank_4	15.96	15.96	15.96	0.0	1	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0
Fructose 6-phosphate	51         Fructose 6-phosphate	C6H13O9P	[M-H]-	12.6	13.5	15.0	0.2	259.0224	259.02099999999996	-5.6	S10228	12.88	12.76	12.93	0.17	12	26920	14637	23729	17023	12209	13349	22757	18854	3132	0	3619	0	2388	0	1914	0	0
Fumaric acid	52         Fumaric acid	C4H4O4	[M-H]-	12.2	14.2	15.0	0.2	115.0037	115.0024	-11.2	S10228	12.93	12.68	12.96	0.28	17	7397215	5528028	7005761	6111049	238358	397689	623804	481916	85613	11859	47687	15355	28383	13112	11705	29724	15192
Glucose 6-phosphate	53         Glucose 6-phosphate	C6H13O9P	[M-H]-	13.6	14.4	15.0	0.2	259.0224	259.0216	-3.3	S10228	13.65	13.64	13.77	0.14	13	43586	20892	33791	30928	20107	19241	20272	22061	2868	0	8781	0	4718	0	0	1913	1339
Glutathione	54         Glutathione	C10H17N3O6S	[M+H]+	10.0	13.0	15.0	0.2	308.0911	308.0905	-1.9	S10235	11.26	11.09	11.51	0.42	16	31421	24154	29644	0	19020	24875	9979	32853	2367	5578	12307	7580	15120	8348	2516	8126	12451
Glycerol 3-phosphate	55         Glycerol 3-phosphate	C3H9O6P	[M-H]-	11.5	13.0	15.0	0.2	171.0064	171.0056	-4.7	S10228	11.9	11.73	12.11	0.38	16	180543	110626	145451	143252	31089	45209	59840	61038	77534	1201	8533	1126	5071	0	7007	1844	1156
Glycine	56         Glycine	C2H5NO2	[M+H]+	10.7	12.7	15.0	0.2	76.0393	76.0399	7.8	S10230	11.8	11.56	11.87	0.31	17	22979668	21048244	23519990	21917264	505873	2183883	2457128	2497179	1850955	18073	230777	20355	47131	17937	17983	25888	16251
Guanidoacetic acid	57         Guanidoacetic acid	C3H7N3O2	[M+H]+	10.7	12.7	15.0	0.2	118.0611	118.0612	0.8	S10230	11.87	11.62	11.93	0.31	17	20912458	18455360	21516784	19714150	383395	1788097	1900482	2005029	1160005	8584	85474	9374	17822	8465	6485	6183	5216
Guanine	58         Guanine	C5H5N5O	[M+H]+	7.7	9.7	15.0	0.2	152.0567	152.0544	-15.0	S10228	8.35	8.13	8.58	0.45	15	110568	40504	64064	45658	2897	78170	64728	12604	38815	3981	0	2385	1881	2236	12731	0	1838
