,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,ttest_pval,1/pvalue,Control_Mean,Treatment_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
0,1-Methylnicotinamide,1         1-Methylnicotinamide,C7H8N2O,[M+H]+,19.0,21.0,15.0,0.2,137.0709,137.071,0.4,SQ567_Blank_0,20.66,20.42,20.9,0.48,49509.5,49509.5,49509.5,49509.5,49509.5,49509.5,49509.5,49509.5,21975,15437,11992,9587,9699,10329,NA,NA,49509.5,49509.5,0.0,1.0,49509.5,49509.5,0.0,0
1,"2,3-Diphosphoglyceric acid","2         2,3-Diphosphoglyceric acid",C3H8O10P2,[M-H]-,12.0,15.0,15.0,0.2,264.952,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
2,3-Hydroxybutyric acid,3         3-Hydroxybutyric acid,C4H8O3,[M-H]-,5.7,7.7,15.0,0.2,103.0401,103.0387,-13.3,S10230,6.73,6.51,6.97,0.46,6016996.0,4720918.0,6784330.0,4962580.0,2848203.0,2848203.0,2848203.0,2848203.0,4046123,1338330,99665,71174,63559,57555,0.0011632847757622397,859.6347350499384,5621206.0,2848203.0,0.9808277110540435,1.9735973875457613,2848203.0,4234704.5,7184.0,4
3,3-Phosphoglyceric acid,4         3-Phosphoglyceric acid,C3H7O7P,[M-H]-,13.0,15.0,15.0,0.2,184.9857,184.9854,-1.4,S10235,13.09,13.04,13.09,0.05,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
4,"4,5-Dihydroorotic acid","5         4,5-Dihydroorotic acid",C5H6N2O4,[M-H]-,7.5,9.5,15.0,0.2,157.0255,157.0241,-8.8,S10230,7.69,7.59,7.85,0.26,12056.0,12056.0,12056.0,12056.0,12056.0,12056.0,12056.0,12056.0,1720,0,0,1396,0,996,NA,NA,12056.0,12056.0,0.0,1.0,12056.0,12056.0,0.0,0
5,4-Hydroxyproline,6         4-Hydroxyproline,C5H9NO3,[M+H]+,10.2,11.2,15.0,0.2,132.0655,132.0673,13.5,S10230,10.67,10.43,10.77,0.34,93320288.0,93209128.0,102071768.0,94032904.0,15000817.0,21303470.0,24084724.0,24103990.0,14446038,19936,2389863,25306,932791,22149,2.987806200112817e-07,3346937.294534836,95658522.0,21123250.25,2.1790616603939434,4.52858915497628,8928041.5,58390886.125,885025052.0,8
6,5'-Methylthioadenosine,7         5'-Methylthioadenosine,C11H15N5O3S,[M+H]+,3.0,5.0,15.0,0.2,298.0968,298.0967,-0.5,S10231,4.43,4.19,4.43,0.24,11094.0,11094.0,11094.0,11094.0,11094.0,11094.0,11094.0,11094.0,0,2188,0,0,0,0,NA,NA,11094.0,11094.0,0.0,1.0,11094.0,11094.0,0.0,0
7,5-Phosphoribosylamine,8         5-Phosphoribosylamine,C5H12NO7P,[M-H]-,11.5,13.5,15.0,0.2,228.0279,228.0252,-11.7,S10228,13.15,13.15,13.15,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
8,6-Phosphogluconic acid,9         6-Phosphogluconic acid,C6H13O10P,[M-H]-,14.0,17.0,15.0,0.2,275.0174,275.0166,-2.8,SQ567_Blank_0,16.8,16.8,16.8,0.0,10959.5,10959.5,10959.5,10959.5,10959.5,10959.5,10959.5,10959.5,1919,0,0,0,0,0,NA,NA,10959.5,10959.5,0.0,1.0,10959.5,10959.5,0.0,0
9,Acetoacetic acid,10         Acetoacetic acid,C4H6O3,[M-H]-,8.3,10.3,15.0,0.2,101.0244,101.0232,-12.1,S10230,9.87,9.66,10.08,0.42,3308037.0,2383258.0,3464363.0,2664617.0,166059.0,201942.0,242552.0,280692.0,72814,24475,48268,24729,34582,20831,4.231949681110974e-05,23629.770563280406,2955068.75,222811.25,3.7292977122666664,13.262655049958205,122849.5,1588940.0,497963.0,8
10,Acetyl-CoA,11         Acetyl-CoA,C23H38N7O17P3S,[M+H]+,8.0,11.0,15.0,0.2,810.1331,810.1271,-7.4,S10229,10.78,10.54,10.92,0.38,43294.0,60664.0,14893.0,14893.0,29870.0,14893.0,14893.0,14893.0,0,0,3346,4526,1914,0,0.25942334174886567,3.8547032555306773,33436.0,18637.25,0.8432132655868214,1.7940415029041301,14893.0,26036.625,0.0,3
11,Acetylcysteine,12         Acetylcysteine,C5H9NO3S,[M+H]+,6.0,8.0,15.0,0.2,164.0376,164.0372,-2.4,S10231,7.1,6.86,7.23,0.37,143499.0,129886.0,156748.0,157683.0,25582.0,22755.0,21711.0,26334.0,0,0,1498,0,1726,0,1.6064433816469192e-06,622493.1494160747,146954.0,24095.5,2.608528985296529,6.098815131456081,11612.0,85524.75,324692.0,8
12,Adenine,13         Adenine,C5H5N5,[M+H]+,5.0,7.0,15.0,0.2,136.0618,136.0616,-1.3,SQ567_Blank_0,6.95,6.71,6.95,0.24,1165515.5,1165515.5,1165515.5,1165515.5,1165515.5,1165515.5,1165515.5,1165515.5,2185063,66916,13965,16336,13915,14836,NA,NA,1165515.5,1165515.5,0.0,1.0,1165515.5,1165515.5,0.0,0
13,Adenosine,14         Adenosine,C10H13N5O4,[M+H]+,4.5,7.0,15.0,0.2,268.10400000000004,268.1019,-7.9,SQ567_Blank_0,5.67,5.49,5.89,0.4,38063.0,38063.0,38063.0,38063.0,38063.0,38063.0,38063.0,38063.0,34841,12225,2207,2681,2138,2034,NA,NA,38063.0,38063.0,0.0,1.0,38063.0,38063.0,0.0,0
14,Adenosine diphosphate ribose,15         Adenosine diphosphate ribose,C15H23N5O14P2,[M-H]-,10.9,12.9,15.0,0.2,558.0644,558.0622,-4.0,S10229,12.49,12.49,12.49,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
15,Adenosine monophosphate,16         Adenosine monophosphate,C10H14N5O7P,[M+H]+,9.8,11.8,15.0,0.2,348.0704,348.0655,-14.0,S10229,9.79,9.78,9.79,0.02,12600.0,13994.0,12600.0,12600.0,12600.0,12600.0,12600.0,12600.0,5200,0,0,0,0,0,0.35591768374958205,2.8096384238766396,12948.5,12600.0,0.039361246974153746,1.02765873015873,12600.0,12774.25,0.0,1
16,Adenosine triphosphate,17         Adenosine triphosphate,C10H16N5O13P3,[M-H]-,12.5,14.5,15.0,0.2,505.9885,505.996,14.9,S10235,13.31,13.18,13.35,0.18,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
