Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2
1         1-Methylnicotinamide,0,0,0,0,0,0,0,0
"2         2,3-Diphosphoglyceric acid",0,0,0,0,0,0,0,0
3         3-Hydroxybutyric acid,6016996,4720918,6784330,4962580,0,0,0,0
4         3-Phosphoglyceric acid,0,0,0,0,0,0,0,0
"5         4,5-Dihydroorotic acid",0,0,0,0,0,0,0,0
6         4-Hydroxyproline,93320288,93209128,102071768,94032904,15000817,21303470,24084724,24103990
7         5'-Methylthioadenosine,0,0,0,0,0,0,0,0
8         5-Phosphoribosylamine,0,0,0,0,0,0,0,0
9         6-Phosphogluconic acid,0,0,0,0,0,0,0,0
10         Acetoacetic acid,3308037,2383258,3464363,2664617,166059,201942,242552,280692
11         Acetyl-CoA,43294,60664,0,0,29870,0,0,0
12         Acetylcysteine,143499,129886,156748,157683,25582,22755,21711,26334
13         Adenine,0,0,0,0,0,0,0,0
14         Adenosine,0,0,0,0,0,0,0,0
15         Adenosine diphosphate ribose,0,0,0,0,0,0,0,0
16         Adenosine monophosphate,0,13994,0,0,0,0,0,0
17         Adenosine triphosphate,0,0,0,0,0,0,0,0
18         Adenylsuccinic acid,0,0,0,0,0,0,0,0
19         ADP,0,0,0,0,0,0,0,0
20         Allantoin,20718788,19007210,21768410,18954804,2111225,2193000,2143986,2508905
21         Aminoadipic acid,770769,515303,770419,584887,64951,58482,59563,64573
22         Argininosuccinic acid,15819,0,19283,0,0,0,0,0
23         Beta-Alanine,4142242,3573894,4197017,3668139,0,0,0,0
24         Betaine,1404434688,1236533888,1373805184,1314194944,68609264,77745288,81500072,89973536
25         Butyrylcarnitine,30241606,21131496,29507216,23297760,3320258,3141187,3232492,3464232
26         Carbamoyl phosphate,3234544,2690228,3129102,3510592,1185999,1818357,1516091,1814968
27         Carnosine,63101740,43224584,59495944,53488320,4183525,6187292,7305232,7872542
28         CDP,0,0,0,0,0,0,0,0
29         Choline,11710446,5205050,9257233,7650890,0,1128327,0,1756109
30         cis-Aconitic acid,8266403,5843390,7319314,6023386,2214933,2909636,2984496,3077220
31         Citric acid,44853892,25693374,32286028,32420610,0,0,0,0
32         Citrulline,120519392,98183840,124790936,104895568,11428374,16482531,19665100,22147946
33         Creatine,1286333824,1140518912,1351840256,1189758336,122325576,212094544,238311568,242781488
34         Creatinine,858776192,814126656,862679296,772459712,48178416,50510224,55852576,57232060
35         Cyclic AMP,0,0,0,0,0,0,0,0
36         Cytidine,12580692,10000084,13294613,10600248,1174130,1263474,1331220,1528004
37         Cytidine monophosphate,0,0,0,0,0,0,0,0
38         Cytidine triphosphate,0,0,0,0,0,0,0,0
39         Cytosine,0,0,0,0,0,0,0,0
40         D-2-Hydroxyglutaric acid,17652420,12300885,16597237,13254280,1980606,2013579,2352952,2464527
41         D-Glucose,24436516,18395368,25898896,19111416,1928242,2228942,2521775,2656109
42         D-Glyceraldehyde 3-phosphate,0,0,0,0,0,0,0,12758
43         Dihydrofolic acid,0,0,0,0,0,0,0,0
44         Dihydroxyacetone phosphate,0,0,0,0,0,0,0,0
45         D-Ribose 5-phosphate,0,0,0,0,0,0,0,0
46         D-Sedoheptulose 7-phosphate,0,0,0,0,0,0,0,0
47         dTDP,0,0,0,0,0,0,0,0
48         FAD,0,0,0,0,0,0,0,0
49         Folic acid,0,0,0,0,0,0,0,0
"50         Fructose 1,6-bisphosphate",0,0,0,0,0,0,0,0
51         Fructose 6-phosphate,26920,14637,23729,17023,0,0,22757,18854
52         Fumaric acid,7397215,5528028,7005761,6111049,238358,397689,623804,481916
53         Glucose 6-phosphate,43586,20892,33791,30928,20107,19241,20272,22061
54         Glutathione,0,0,0,0,0,0,0,0
55         Glycerol 3-phosphate,180543,110626,145451,143252,0,0,59840,61038
56         Glycine,22979668,21048244,23519990,21917264,0,2183883,2457128,2497179
57         Guanidoacetic acid,20912458,18455360,21516784,19714150,0,1788097,1900482,2005029
58         Guanine,110568,40504,64064,45658,0,78170,64728,0
59         Guanosine,0,0,0,0,0,0,0,0
60         Guanosine diphosphate,0,0,0,0,0,0,0,0
61         Guanosine monophosphate,0,0,0,0,0,0,0,0
62         Guanosine triphosphate,0,0,0,0,0,0,0,0
63         Homocysteine,131447,94934,124048,99257,0,0,0,0
64         Hypotaurine,1677505,1543790,1937472,1895973,47490,121340,120376,142670
