Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2
1         1-Methylnicotinamide,49509.5,49509.5,49509.5,49509.5,49509.5,49509.5,49509.5,49509.5
"2         2,3-Diphosphoglyceric acid",10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
3         3-Hydroxybutyric acid,6016996.0,4720918.0,6784330.0,4962580.0,2848203.0,2848203.0,2848203.0,2848203.0
4         3-Phosphoglyceric acid,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
"5         4,5-Dihydroorotic acid",12056.0,12056.0,12056.0,12056.0,12056.0,12056.0,12056.0,12056.0
6         4-Hydroxyproline,93320288.0,93209128.0,102071768.0,94032904.0,15000817.0,21303470.0,24084724.0,24103990.0
7         5'-Methylthioadenosine,11094.0,11094.0,11094.0,11094.0,11094.0,11094.0,11094.0,11094.0
8         5-Phosphoribosylamine,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
9         6-Phosphogluconic acid,10959.5,10959.5,10959.5,10959.5,10959.5,10959.5,10959.5,10959.5
10         Acetoacetic acid,3308037.0,2383258.0,3464363.0,2664617.0,166059.0,201942.0,242552.0,280692.0
11         Acetyl-CoA,43294.0,60664.0,14893.0,14893.0,29870.0,14893.0,14893.0,14893.0
12         Acetylcysteine,143499.0,129886.0,156748.0,157683.0,25582.0,22755.0,21711.0,26334.0
13         Adenine,1165515.5,1165515.5,1165515.5,1165515.5,1165515.5,1165515.5,1165515.5,1165515.5
14         Adenosine,38063.0,38063.0,38063.0,38063.0,38063.0,38063.0,38063.0,38063.0
15         Adenosine diphosphate ribose,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
16         Adenosine monophosphate,12600.0,13994.0,12600.0,12600.0,12600.0,12600.0,12600.0,12600.0
17         Adenosine triphosphate,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
18         Adenylsuccinic acid,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
19         ADP,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
20         Allantoin,20718788.0,19007210.0,21768410.0,18954804.0,2111225.0,2193000.0,2143986.0,2508905.0
21         Aminoadipic acid,770769.0,515303.0,770419.0,584887.0,64951.0,58482.0,59563.0,64573.0
22         Argininosuccinic acid,15819.0,13061.5,19283.0,13061.5,13061.5,13061.5,13061.5,13061.5
23         Beta-Alanine,4142242.0,3573894.0,4197017.0,3668139.0,1655038.0,1655038.0,1655038.0,1655038.0
24         Betaine,1404434688.0,1236533888.0,1373805184.0,1314194944.0,68609264.0,77745288.0,81500072.0,89973536.0
25         Butyrylcarnitine,30241606.0,21131496.0,29507216.0,23297760.0,3320258.0,3141187.0,3232492.0,3464232.0
26         Carbamoyl phosphate,3234544.0,2690228.0,3129102.0,3510592.0,1185999.0,1818357.0,1516091.0,1814968.0
27         Carnosine,63101740.0,43224584.0,59495944.0,53488320.0,4183525.0,6187292.0,7305232.0,7872542.0
28         CDP,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
29         Choline,11710446.0,5205050.0,9257233.0,7650890.0,990713.5,1128327.0,990713.5,1756109.0
30         cis-Aconitic acid,8266403.0,5843390.0,7319314.0,6023386.0,2214933.0,2909636.0,2984496.0,3077220.0
31         Citric acid,44853892.0,25693374.0,32286028.0,32420610.0,25192487.0,25192487.0,25192487.0,25192487.0
32         Citrulline,120519392.0,98183840.0,124790936.0,104895568.0,11428374.0,16482531.0,19665100.0,22147946.0
33         Creatine,1286333824.0,1140518912.0,1351840256.0,1189758336.0,122325576.0,212094544.0,238311568.0,242781488.0
34         Creatinine,858776192.0,814126656.0,862679296.0,772459712.0,48178416.0,50510224.0,55852576.0,57232060.0
35         Cyclic AMP,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0,11372.0
36         Cytidine,12580692.0,10000084.0,13294613.0,10600248.0,1174130.0,1263474.0,1331220.0,1528004.0
37         Cytidine monophosphate,12344.5,12344.5,12344.5,12344.5,12344.5,12344.5,12344.5,12344.5
38         Cytidine triphosphate,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
39         Cytosine,140554.0,140554.0,140554.0,140554.0,140554.0,140554.0,140554.0,140554.0
40         D-2-Hydroxyglutaric acid,17652420.0,12300885.0,16597237.0,13254280.0,1980606.0,2013579.0,2352952.0,2464527.0
41         D-Glucose,24436516.0,18395368.0,25898896.0,19111416.0,1928242.0,2228942.0,2521775.0,2656109.0
42         D-Glyceraldehyde 3-phosphate,11938.5,11938.5,11938.5,11938.5,11938.5,11938.5,11938.5,12758.0
43         Dihydrofolic acid,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
44         Dihydroxyacetone phosphate,13804.5,13804.5,13804.5,13804.5,13804.5,13804.5,13804.5,13804.5
45         D-Ribose 5-phosphate,11658.0,11658.0,11658.0,11658.0,11658.0,11658.0,11658.0,11658.0
46         D-Sedoheptulose 7-phosphate,10854.5,10854.5,10854.5,10854.5,10854.5,10854.5,10854.5,10854.5
47         dTDP,11172.0,11172.0,11172.0,11172.0,11172.0,11172.0,11172.0,11172.0
48         FAD,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
49         Folic acid,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
