Metabolite,RT Start (min),Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,SQ567_ISTD_0,SQ567_ISTD_1,SQ567_ISTD_2
1         1-Methylnicotinamide,19.0,9299,10197,12232,10145,8382,8787,11221,9898,21975,15437,11992,9587,9699,10329,15889,11334,11687
"2         2,3-Diphosphoglyceric acid",12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3         3-Hydroxybutyric acid,5.7,6016996,4720918,6784330,4962580,360666,363045,509518,449982,4046123,1338330,99665,71174,63559,57555,1137347,94526,59725
4         3-Phosphoglyceric acid,13.0,0,0,0,0,0,0,0,3755,0,0,0,0,0,0,3052,0,0
"5         4,5-Dihydroorotic acid",7.5,0,0,7790,0,0,0,1323,1469,1720,0,0,1396,0,996,1424,0,1366
6         4-Hydroxyproline,10.2,93320288,93209128,102071768,94032904,15000817,21303470,24084724,24103990,14446038,19936,2389863,25306,932791,22149,19645,66429,28559
7         5'-Methylthioadenosine,3.0,0,5125,0,5767,0,0,2465,0,0,2188,0,0,0,0,3276,1457,1735
8         5-Phosphoribosylamine,11.5,4041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9         6-Phosphogluconic acid,14.0,0,0,0,0,0,0,0,0,1919,0,0,0,0,0,0,0,0
10         Acetoacetic acid,8.3,3308037,2383258,3464363,2664617,166059,201942,242552,280692,72814,24475,48268,24729,34582,20831,35004,24927,20582
11         Acetyl-CoA,8.0,43294,60664,0,0,29870,3272,0,9073,0,0,3346,4526,1914,0,9515,0,0
12         Acetylcysteine,6.0,143499,129886,156748,157683,25582,22755,21711,26334,0,0,1498,0,1726,0,0,0,0
13         Adenine,5.0,42640,32511,45872,26142,17616,15872,24232,25919,2185063,66916,13965,16336,13915,14836,201613,21070,12797
14         Adenosine,4.5,0,0,0,3814,2312,2860,4607,2998,34841,12225,2207,2681,2138,2034,10339,5373,2278
