Metabolite,SQ567_Blank_0,SQ567_Blank_1,SQ567_Blank_2,SQ567_Blank_3,SQ567_Blank_4,SQ567_Blank_5
1         1-Methylnicotinamide,21975,15437,11992,9587,9699,10329
"2         2,3-Diphosphoglyceric acid",0,0,0,0,0,0
3         3-Hydroxybutyric acid,4046123,1338330,99665,71174,63559,57555
4         3-Phosphoglyceric acid,0,0,0,0,0,0
"5         4,5-Dihydroorotic acid",1720,0,0,1396,0,996
6         4-Hydroxyproline,14446038,19936,2389863,25306,932791,22149
7         5'-Methylthioadenosine,0,2188,0,0,0,0
8         5-Phosphoribosylamine,0,0,0,0,0,0
9         6-Phosphogluconic acid,1919,0,0,0,0,0
10         Acetoacetic acid,72814,24475,48268,24729,34582,20831
11         Acetyl-CoA,0,0,3346,4526,1914,0
12         Acetylcysteine,0,0,1498,0,1726,0
13         Adenine,2185063,66916,13965,16336,13915,14836
14         Adenosine,34841,12225,2207,2681,2138,2034
15         Adenosine diphosphate ribose,0,0,0,0,0,0
16         Adenosine monophosphate,5200,0,0,0,0,0
17         Adenosine triphosphate,0,0,0,0,0,0
18         Adenylsuccinic acid,0,0,0,0,0,0
19         ADP,0,0,0,0,0,0
20         Allantoin,61494,1897,29723,7874,40761,8996
21         Aminoadipic acid,15067,7096,7696,9242,8362,6542
22         Argininosuccinic acid,3286,0,1469,0,1368,0
23         Beta-Alanine,3176705,20539,31913,17286,24681,18952
24         Betaine,4041574,941332,1167622,195901,651268,165194
25         Butyrylcarnitine,3570,2885,7198,2293,6934,5390
26         Carbamoyl phosphate,51969,12007,182007,20613,116173,18100
27         Carnosine,2259352,0,199640,1887,81597,0
28         CDP,0,0,0,0,0,0
29         Choline,1898677,13502,14643,10873,12355,11377
30         cis-Aconitic acid,1781074,59611,1081058,63647,509353,37625
31         Citric acid,27977736,3040563,10668586,1899542,4856738,1921809
32         Citrulline,9841200,9916,1563582,15083,732080,13732
33         Creatine,133285720,39384,18313884,182415,7825956,132645
34         Creatinine,4853630,2971006,2492072,1855980,1485590,1509839
35         Cyclic AMP,2744,0,0,0,0,0
36         Cytidine,91817,11396,18998,6884,16763,9139
37         Cytidine monophosphate,4689,0,0,0,0,0
38         Cytidine triphosphate,0,0,0,0,0,0
39         Cytosine,149302,30377,19983,23929,18460,19057
40         D-2-Hydroxyglutaric acid,91160,13892,42197,10536,22389,10977
41         D-Glucose,491628,13178,227330,9656,197204,8089
42         D-Glyceraldehyde 3-phosphate,0,0,3877,0,0,0
43         Dihydrofolic acid,0,0,0,0,0,0
44         Dihydroxyacetone phosphate,3039,0,3290,0,0,1280
45         D-Ribose 5-phosphate,3316,0,0,0,0,0
46         D-Sedoheptulose 7-phosphate,0,0,1709,0,0,0
47         dTDP,0,0,0,1262,0,1082
48         FAD,0,0,0,0,0,0
49         Folic acid,0,0,0,0,0,0
"50         Fructose 1,6-bisphosphate",0,0,0,0,1000,0
51         Fructose 6-phosphate,3132,0,3619,0,2388,0
52         Fumaric acid,85613,11859,47687,15355,28383,13112
53         Glucose 6-phosphate,2868,0,8781,0,4718,0
54         Glutathione,2367,5578,12307,7580,15120,8348
55         Glycerol 3-phosphate,77534,1201,8533,1126,5071,0
56         Glycine,1850955,18073,230777,20355,47131,17937
57         Guanidoacetic acid,1160005,8584,85474,9374,17822,8465
58         Guanine,38815,3981,0,2385,1881,2236
59         Guanosine,31896,1291,0,0,0,0
60         Guanosine diphosphate,0,0,0,0,0,0
61         Guanosine monophosphate,8457,0,0,0,0,0
62         Guanosine triphosphate,0,0,1964,0,0,0
63         Homocysteine,0,0,0,0,0,0
64         Hypotaurine,26658,0,3513,0,0,0
65         Hypoxanthine,1994354,37113,127399,17134,72001,17809
66         Inosine,4353,1491,0,0,0,0
67         Inosinic acid,0,0,0,0,0,0
68         L-Acetylcarnitine,33608,7144,51137,6603,30434,8109
69         L-Alanine,8815381,75710,1887541,74586,700459,55206
70         L-Arginine,17483712,2228441,6837401,2761309,4177740,2278900
71         L-Asparagine,17461,2708,13478,2110,7997,2343
72         L-Aspartic acid,64645,2427,49371,5735,15740,5326
73         L-Carnitine,3492554,50897,985319,37349,542172,37603
74         L-Cystathionine,60208,1913,16219,1425,8125,1229
75         L-Cysteine,2339,1547,12275,2611,12515,2489
76         L-Cystine,79024,21634,158243,65554,201135,47264
77         L-Glutamic acid,3709638,123844,3522428,70392,1616106,78425
78         L-Glutamine,22057284,37951,8998240,131552,4154360,111612
79         L-Histidine,19790684,250435,5305830,283705,2288426,193629
80         L-Isoleucine,4213472,163646,745950,82502,507437,96855
81         L-Kynurenine,16498,2426,27663,2691,22177,1980
82         L-Lactic acid,860050,735700,1203930,840896,833675,683046
83         L-Leucine,4204922,178049,644664,85897,502541,80659
84         L-Lysine,15438701,391922,3819403,648784,1394069,530327
85         L-Malic acid,6033976,117630,3365680,359391,1527718,160352
86         L-Methionine,357400,27625,68115,6509,33116,5105
87         L-Phenylalanine,285542,47671,254569,21213,156739,16957
88         L-Proline,18702126,404180,3074420,381930,1684989,352281
89         L-Serine,2651498,17594,383533,21870,75157,14947
90         L-Threonine,34603,2804,23732,4913,11172,3205
91         L-Tryptophan,392722,7316,387433,2388,230765,2186
92         L-Tyrosine,508376,9432,119947,8564,79864,6008
93         L-Valine,9632568,113029,1143420,98242,672887,93791
94         N6-Acetyl-L-lysine,78730,129994,111718,113504,49758,93892
95         N-Acetylglutamic acid,15489,2310,2270,1652,1626,1477
96         N-Acetylglutamine,3040,0,2437,1699,2232,1678
97         N-Acetyl-L-alanine,21175,12504,15770,10483,11291,9853
98         N-Acetyl-L-methionine,0,0,0,0,0,1456
99         N-Acetyl-L-phenylalanine,19282,27640,26440,34623,15767,33839
100         N-Acetylornithine,1780904,4492,414348,2450,197069,2265
101         N-Acetylserine,30799,2427,4741,2251,2467,1968
102         NAD,0,0,0,1468,0,0
103         NADH,0,0,0,0,1398,0
104         NADP,3572,0,4562,0,2628,1418
105         NADPH,0,0,0,0,0,0
106         Niacinamide,152538,128444,111468,110168,61335,84948
107         Nicotinic acid,57499,33640,20476,18469,17504,18143
108         O-Phosphoethanolamine,3582,0,0,0,0,0
109         Ornithine,17538174,918305,5606915,1242942,2673236,916615
110         Orotic acid,1824,1428,1279,0,0,0
111         Orotidylic acid,0,0,0,0,0,0
112         Oxidized glutathione,0,0,2345,1093,0,0
113         Oxoadipic acid,10769,2055,2068,2191,1680,4796
114         Oxoglutaric acid,129384,9088,10505,5026,6639,2422
115         Palmitic acid,7630286,9491051,7961940,7815324,3664500,7363538
116         Pantothenic acid,12954,6220,111972,10461,72133,5707
117         Phenol,223335,228622,487018,500226,404368,470726
118         Phosphocreatine,2553,0,0,0,0,0
119         Phosphoenolpyruvic acid,2243,0,0,0,0,0
120         Phosphoribosyl pyrophosphate,0,0,0,0,0,0
121         Phosphorylcholine,12678,0,9086,1764,5824,1631
122         Phosphoserine,3239,0,0,0,0,0
123         Pipecolic acid,200883,82973,83920,58138,67275,77957
124         Propionylcarnitine,10540,6238,16887,2653,13093,6033
125         Pyruvic acid,39372,27742,32096,25234,30817,25416
126         Ribose 1-phosphate,2649,0,2285,0,1839,0
127         Saccharopine,0,0,0,0,0,0
128         S-Adenosylhomocysteine,0,0,0,0,0,0
129         S-Adenosylmethionine,3479,1809,0,1341,0,0
130         Sarcosine,2940211,21957,149684,20816,61238,20096
