,Metabolite,Formula,Ion Type,mz,ppm,RT,RT_range,Detection,Skeleton_Metabolite,Before dialysis 1_1,Before dialysis 1_2,Before dialysis 2_1,Before dialysis 2_2,After dialysis 1_1,After dialysis 1_2,After dialysis 2_1,After dialysis 2_2,Control_vs_Treatment_ttest_pval,Control_vs_Treatment_Log2FoldChange,Control_vs_Treatment_impact_score,Treatment_vs_Control_ttest_pval,Treatment_vs_Control_Log2FoldChange,Treatment_vs_Control_impact_score
0,1         1-Methylnicotinamide,C7H8N2O,[M+H]+,137.0709,0.4,20.66,0.48,0,1-Methylnicotinamide,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
1,"2         2,3-Diphosphoglyceric acid",C3H8O10P2,[M-H]-,264.952,0.0,0.0,0.0,0,"2,3-Diphosphoglyceric acid",-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
2,3         3-Hydroxybutyric acid,C4H8O3,[M-H]-,103.0401,-13.3,6.73,0.46,4,3-Hydroxybutyric acid,6016996,4720918,6784330,4962580,-,-,-,-,0.0011632847757622395,0.9808277110540436,7184.0,0.0011632847757622395,-0.9808277110540434,7184.0
3,4         3-Phosphoglyceric acid,C3H7O7P,[M-H]-,184.9857,-1.4,13.09,0.05,0,3-Phosphoglyceric acid,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
4,"5         4,5-Dihydroorotic acid",C5H6N2O4,[M-H]-,157.0255,-8.8,7.69,0.26,0,"4,5-Dihydroorotic acid",-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
5,6         4-Hydroxyproline,C5H9NO3,[M+H]+,132.0655,13.5,10.67,0.34,8,4-Hydroxyproline,93320288,93209128,102071768,94032904,15000817,21303470,24084724,24103990,2.9878062001128174e-07,2.1790616603939434,885025052.0,2.9878062001128174e-07,-2.1790616603939434,885025052.0
6,7         5'-Methylthioadenosine,C11H15N5O3S,[M+H]+,298.0968,-0.5,4.43,0.24,0,5'-Methylthioadenosine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
7,8         5-Phosphoribosylamine,C5H12NO7P,[M-H]-,228.0279,-11.7,13.15,0.0,0,5-Phosphoribosylamine,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
8,9         6-Phosphogluconic acid,C6H13O10P,[M-H]-,275.0174,-2.8,16.8,0.0,0,6-Phosphogluconic acid,-,-,-,-,-,-,-,-,NA,0.0,0.0,NA,0.0,0.0
9,10         Acetoacetic acid,C4H6O3,[M-H]-,101.0244,-12.1,9.87,0.42,8,Acetoacetic acid,3308037,2383258,3464363,2664617,166059,201942,242552,280692,4.231949681110974e-05,3.7292977122666655,497963.0,4.231949681110974e-05,-3.7292977122666655,497963.0
