pvalue,Name,NT +MP 1,NT +MP 2,NT +MP 3,NT +MP 4,sh2 +MP 1,sh2 +MP 2,sh2 +MP 3,sh2 +MP 4,Kegg ID,Ratio,Primary Pathway,,,,,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),HMDB ID,PubChem ID,Kegg ID,Pathway 1,Pathway 2,Pathway 3,,,,,,,,,,,,
6.22858E-05,D-2-Hydroxyglutaric acid,2295041,2712004,3267462,3081391,5649180,5253895,5850968,6190152,C01087,2.020465048,Oncometabolites,,,,,Beta-Alanine,C3H7NO2,+,ESI,9.8,10.5,10,0.25,HMDB0000056,239,C00099,Pyrimidine metabolism,beta-Alanine metabolism,Propanoate metabolism,,,,,,,,,,Unique Pathways,Countif (all),Countif (p<0.01)
8.73855E-05,Sarcosine,1177148,1308611,1551629,1365107,2472640,2281512,2728087,2515106,C00213,1.850505183,"Glycine, serine and threonine metabolism",,,,,L-Alanine,C3H7NO2,+,ESI,10.6,11.2,10,0.25,HMDB0000161,5950,C00041,"Alanine, aspartate and glutamate metabolism",Phenylalanine metabolism,"Phenylalanine, tyrosine and tryptophan biosynthesis",,,,,,,,,,"Glycine, serine and threonine metabolism",10,4
0.000583434,Hypotaurine,-,12472,11342,10710,33614,35609,29406,37896,C00519,2.965871568,Taurine and hypotaurine metabolism,,,,,Sarcosine,C3H7NO2,+,ESI,11.2,12,10,0.25,HMDB0000271,1088,C00213,"Glycine, serine and threonine metabolism",Arginine and proline metabolism,,,,,,,,,,,Purine metabolism,9,0
0.002333633,Propionylcarnitine,204859,259039,296526,248101,70907,83396,84298,83520,C03017,0.319398131,Fatty acid metabolism,,,,,Betaine,C5H11NO2,+,ESI,7,8.2,10,0.25,HMDB0000043,247,C00719,"Glycine, serine and threonine metabolism",,,,,,,,,,,,Arginine biosynthesis,7,1
0.002599155,L-Aspartic acid,16711695,17764462,19800414,18704948,13298626,12900785,12694874,12488969,C00049,0.704058434,"Alanine, aspartate and glutamate metabolism",,,,,L-Valine,C5H11NO2,+,ESI,8.3,9.2,10,0.25,HMDB0000883,6287,C00183,"Valine, leucine and isoleucine degradation",,,,,,,,,,,,Fatty acid metabolism,6,2
0.002603089,Ornithine,1229520,1200900,1057729,1241792,877825,976180,886648,869549,C00077,0.763265757,Arginine biosynthesis,,,,,N-Acetyl-L-alanine,C5H9NO3,+,ESI,6,7,10,0.25,HMDB0000766,88064,-,-,,,,,,,,,,,,Citrate cycle (TCA cycle),6,1
0.003120281,L-Glutamine,258695808,290476928,301128864,277721632,236470224,208590416,217914528,237375024,C00064,0.798166355,D-Glutamine and D-glutamate metabolism,,,,,4-Hydroxyproline,C5H9NO3,+,ESI,10.2,11.2,10,0.25,HMDB0000725,5810,C01157,Arginine and proline metabolism,,,,,,,,,,,,Pyrimidine metabolism,6,0
0.003265629,O-Phosphoethanolamine,79724,236682,67844,160432,982199,963347,1517888,1404474,C00346,8.937155992,Glycerophospholipid metabolism,,,,,L-Isoleucine,C6H13NO2,+,ESI,6,7.45,10,0.25,HMDB0000172,6306,C00407,"Valine, leucine and isoleucine degradation","Valine, leucine and isoleucine degradation",Glucosinolate biosynthesis,,,,,,,,,,Glycolysis / Gluconeogenesis,6,0
0.004721653,L-Threonine,2636828,2518076,3052290,2801394,1906101,2038834,2117712,2104111,C00188,0.74185336,"Glycine, serine and threonine metabolism",,,,,L-Leucine,C6H13NO2,+,ESI,7.45,9,10,0.25,HMDB0000687,6106,C00123,"Valine, leucine and isoleucine degradation","Valine, leucine and isoleucine degradation",Glucosinolate biosynthesis,,,,,,,,,,Arginine and proline metabolism,4,0
0.006433603,Guanidoacetic acid,243102,280695,420576,265939,26733,36631,26397,40212,C00581,0.107388012,"Glycine, serine and threonine metabolism",,,,,Dihydroxyacetone phosphate,C3H7O6P,-,ESI,12,13,10,0.25,HMDB0001473,668,C00111,Glycolysis / Gluconeogenesis,Pentose and glucuronate interconversions,Fructose and mannose metabolism,,,,,,,,,,"Alanine, aspartate and glutamate metabolism",3,1
