,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,3187,101,106,3181,74,3633,103,3189,3178,3627,3622,3626,3623,ttest_pval,1/pvalue,LAKI_Mean,LAKI NANOG_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
0,3-Phosphoglyceric acid,C3H7O7P,-,ESI,13.0,15.0,15,0.2,184.9857,184.9847,-5.0,S06372,14.68,14.59,14.93,0.34,307140,22474,21604,144573,109940,15992,23207,86910,93165,45264,12570,34113,76314,0.47339651471600874,2.1123940901844227,92132.85714285714,58056.0,0.6662705781624475,1.5869652945924133,NA,75094.42857142858,0.0,0
1,Adenosine,C10H13N5O4,+,ESI,4.5,7.0,15,0.2,268.10400000000004,268.1033,-2.6,S06369,6.03,5.91,6.08,0.17,1576277,3269932,1928952,1484230,1434025,4887308,758078,382713,991224,4176331,5749141,1113918,2551116,0.7628473321453941,1.310878281749573,2191257.4285714286,2494073.8333333335,-0.1867451927664404,0.8785856293768215,NA,2342665.630952381,3.0,0
2,Citrulline,C6H13N3O3,+,ESI,10.9,12.9,15,0.2,176.10299999999998,176.1028,-1.2,S06374,12.32,12.23,12.33,0.1,61790024,79655576,93544280,102709952,76137512,76302784,67429456,60515116,83304944,84457408,74397520,87885448,60945548,0.56422006924594,1.7723580824348633,79652797.71428572,75250997.33333333,0.08201433302214245,1.0584949108575143,NA,77451897.52380952,145.0,0
3,Cytidine,C9H13N3O5,+,ESI,7.1,9.1,15,0.2,244.0928,244.0924,-1.5,S06386,8.55,8.4,8.57,0.17,9562102,9549323,7890596,5517542,9065696,6082360,23358454,30723010,13952469,9591197,9462722,8496165,9029509,0.42341418358173455,2.361753665266537,10146581.857142856,13542512.0,-0.4165015696785138,0.7492392738616629,NA,11844546.92857143,37.0,0
4,D-2-Hydroxyglutaric acid,C5H8O5,-,ESI,11.6,13.6,15,0.2,147.0299,147.0287,-8.3,S06375,12.69,12.58,12.88,0.3,6082544,6611708,6325724,6117842,4817418,5694024,4986013,5933987,5568005,3071431,3013251,2908523,2816312,0.009446078304626756,105.86403878424265,5805039.0,3885251.5,0.579297769429161,1.4941218091029629,NA,4845145.25,766.0,0
5,D-Ribose 5-phosphate,C5H11O8P,-,ESI,12.4,13.8,15,0.2,229.0119,229.0112,-3.2,S06375,13.06,12.9,13.15,0.24,2543063,2002488,1970860,2082170,2539566,3527081,897979,4065986,3822768,2393297,2183963,3224788,3176771,0.05573255268172086,17.942835055677964,2223315.285714286,3144595.5,-0.5001619005241389,0.7070274334852562,NA,2683955.3928571427,68.0,0
6,FAD,C27H33N9O15P2,+,ESI,7.6,9.6,15,0.2,786.1644,786.1605,-4.9,S06374,8.99,8.89,9.07,0.17,40377,70341,18203,46223,81786,39176,41934,78173,83197,72890,67501,77167,53843,0.029784517863598405,33.57449009514319,48291.42857142857,72128.5,-0.578802279147832,0.6695193795993064,NA,60209.96428571429,3.0,0
7,Fumaric acid,C4H4O4,-,ESI,12.2,14.2,15,0.2,115.0037,115.0023,-12.0,S06374,13.51,13.48,13.66,0.17,8660944,9590738,5281068,8176866,8510841,3829478,3978019,10300931,13211603,7963320,8306088,11853735,7664998,0.04204167972232759,23.785919273556466,6861136.285714285,9883445.833333334,-0.5265665971219129,0.6942048756491509,NA,8372291.05952381,287.0,0
8,Glutathione,C10H17N3O6S,+,ESI,10.0,13.0,15,0.2,308.0911,308.0903,-2.6,S06370,11.75,11.67,11.76,0.09,67806,1786328,3935498,545650,898069,5478982,543731,55991,131471,1132120,739572,8427177,3197973,0.797328404390331,1.254188355129076,1893723.4285714286,2280717.3333333335,-0.2682620077268636,0.8303192161931342,NA,2087220.380952381,3.0,0
9,L-Acetylcarnitine,C9H17NO4,+,ESI,6.3,8.3,15,0.2,204.123,204.1227,-1.6,S06374,7.71,7.58,7.93,0.34,316439840,575378624,465768608,368506976,459400096,535509312,390464704,607106432,485975072,482832608,492671008,566077184,375899360,0.2608618624917694,3.8334465239492475,444495451.4285714,501760277.3333333,-0.17482960610186107,0.885872141555121,NA,473127864.38095236,2047.0,0
