"","kegg.names","labels","all.mapped","type","x","y","width","height","FC","mol.col"
"56","C00022","C00022","","compound",737,241,8,8,NA,"#FFFFFF"
"57","C00122","C00122","C00122","compound",190,486,8,8,0.775216937,"#EFEF30"
"58","C00036","C00036","","compound",320,349,8,8,NA,"#FFFFFF"
"59","C05379","C05379","","compound",718,458,8,8,NA,"#FFFFFF"
"60","C00024","C00024","","compound",400,241,8,8,NA,"#FFFFFF"
"61","C00149","C00149","C00149","compound",190,398,8,8,0.697731024,"#EFEF30"
"62","C00311","C00311","","compound",718,349,8,8,NA,"#FFFFFF"
"63","C00417","C00417","C00417","compound",621,349,8,8,0.633129651,"#EFEF30"
"64","C00042","C00042","C00042","compound",190,579,8,8,0.971106082,"#FFFF00"
"65","C00158","C00158","C00158","compound",522,349,8,8,0.763105349,"#EFEF30"
"66","C15972","C15972","","compound",522,622,8,8,NA,"#FFFFFF"
"67","C00068","C00068","","compound",589,535,8,8,NA,"#FFFFFF"
"68","C16254","C16254","","compound",462,578,8,8,NA,"#FFFFFF"
"69","C15973","C15973","","compound",408,622,8,8,NA,"#FFFFFF"
"70","C00091","C00091","","compound",334,579,8,8,NA,"#FFFFFF"
"71","C00026","C00026","C00026","compound",718,578,8,8,0.763941594,"#EFEF30"
"72","C05381","C05381","","compound",593,578,8,8,NA,"#FFFFFF"
"74","C05125","C05125","","compound",631,241,8,8,NA,"#FFFFFF"
"76","C00068","C00068","","compound",631,198,8,8,NA,"#FFFFFF"
"78","C15972","C15972","","compound",580,284,8,8,NA,"#FFFFFF"
"81","C16255","C16255","","compound",517,241,8,8,NA,"#FFFFFF"
"88","C15973","C15973","","compound",478,284,8,8,NA,"#FFFFFF"
"89","C00074","C00074","","compound",471,116,8,8,NA,"#FFFFFF"
