File,id,Group,Color
S09199,161-1,None,#FF0000
S09200,161-2,None,#FF0000
S09201,161-3,None,#FF0000
S09202,161-4,None,#FF0000
S09203,161-5,None,#FF0000
S09204,362-1,Low,#0000FF
S09205,362-2,Low,#0000FF
S09206,362-3,Low,#0000FF
S09207,362-4,Low,#0000FF
S09208,362-5,Low,#0000FF
S09209,211-1,None,#FF0000
S09210,211-2,None,#FF0000
S09211,211-3,None,#FF0000
S09212,211-4,None,#FF0000
S09213,211-5,None,#FF0000
S09214,441-1,High,#000000
S09215,441-2,High,#000000
S09216,441-3,High,#000000
S09217,441-4,High,#000000
S09218,441-5,High,#000000
S09219,246-1,None,#FF0000
S09220,246-2,None,#FF0000
S09221,246-3,None,#FF0000
S09222,246-4,None,#FF0000
S09223,246-5,None,#FF0000
S09224,77-1,High,#000000
S09225,77-2,High,#000000
S09226,77-3,High,#000000
S09227,77-4,High,#000000
S09228,77-5,High,#000000
S09229,209-1,Low,#0000FF
S09230,209-2,Low,#0000FF
S09231,209-3,Low,#0000FF
S09232,209-4,Low,#0000FF
S09233,209-5,Low,#0000FF
S09234,151-1,None,#FF0000
S09235,151-2,None,#FF0000
S09236,151-3,None,#FF0000
S09237,151-4,None,#FF0000
S09238,151-5,None,#FF0000
S09239,38-1,Low,#0000FF
S09240,38-2,Low,#0000FF
S09241,38-3,Low,#0000FF
S09242,38-4,Low,#0000FF
S09243,38-5,Low,#0000FF
S09249,296-1,Low,#0000FF
S09250,296-2,Low,#0000FF
S09251,296-3,Low,#0000FF
S09252,296-4,Low,#0000FF
S09253,296-5,Low,#0000FF
S09254,458-1,High,#000000
S09255,458-2,High,#000000
S09256,458-3,High,#000000
S09257,458-4,High,#000000
S09258,458-5,High,#000000
S09259,422-1,High,#000000
S09260,422-2,High,#000000
S09261,422-3,High,#000000
S09262,422-4,High,#000000
S09263,422-5,High,#000000
S09264,300-1,None,#FF0000
S09265,300-2,None,#FF0000
S09266,300-3,None,#FF0000
S09267,300-4,None,#FF0000
S09268,300-5,None,#FF0000
S09269,194-1,None,#FF0000
S09270,194-2,None,#FF0000
S09271,194-3,None,#FF0000
S09272,194-4,None,#FF0000
S09273,194-5,None,#FF0000
S09274,371-1,None,#FF0000
S09275,371-2,None,#FF0000
S09276,371-3,None,#FF0000
S09277,371-4,None,#FF0000
S09278,371-5,None,#FF0000
S09279,438-1,High,#000000
S09280,438-2,High,#000000
S09281,438-3,High,#000000
S09282,438-4,High,#000000
S09283,438-5,High,#000000
S09284,272-1,Low,#0000FF
S09285,272-2,Low,#0000FF
S09286,272-3,Low,#0000FF
S09287,272-4,Low,#0000FF
S09288,272-5,Low,#0000FF
S09289,299-1,High,#000000
S09290,299-2,High,#000000
S09291,299-3,High,#000000
S09292,299-4,High,#000000
S09293,299-5,High,#000000
S09294,118-1,Low,#0000FF
S09295,118-2,Low,#0000FF
S09296,118-3,Low,#0000FF
S09297,118-4,Low,#0000FF
S09298,118-5,Low,#0000FF
S09299,55-1,High,#000000
S09300,55-2,High,#000000
S09301,55-3,High,#000000
S09302,55-4,High,#000000
S09303,55-5,High,#000000
S09304,147-1,Low,#0000FF
S09305,147-2,Low,#0000FF
S09306,147-3,Low,#0000FF
S09307,147-4,Low,#0000FF
S09308,147-5,Low,#0000FF
S09309,17-1,None,#FF0000
S09310,17-2,None,#FF0000
S09311,17-3,None,#FF0000
S09312,17-4,None,#FF0000
S09313,17-5,None,#FF0000
S09314,309-1,None,#FF0000
S09315,309-2,None,#FF0000
S09316,309-3,None,#FF0000
S09317,309-4,None,#FF0000
S09318,309-5,None,#FF0000
SQ531_Blank_0,Blank_0,Blank,NA
SQ531_Blank_1,Blank_1,Blank,NA
SQ531_Blank_2,Blank_2,Blank,NA
SQ531_Blank_3,Blank_3,Blank,NA
SQ531_Blank_4,Blank_4,Blank,NA
SQ531_Blank_5,Blank_5,Blank,NA
SQ531_Blank_6,Blank_6,Blank,NA
SQ531_Blank_7,Blank_7,Blank,NA
SQ531_Blank_8,Blank_8,Blank,NA
SQ531_Blank_9,Blank_9,Blank,NA
SQ531_Blank_10,Blank_10,Blank,NA
SQ531_Blank_11,Blank_11,Blank,NA
SQ531_Blank_12,Blank_12,Blank,NA
SQ531_Blank_13,Blank_13,Blank,NA
SQ531_Blank_14,Blank_14,Blank,NA
SQ531_Blank_15,Blank_15,Blank,NA
SQ531_Blank_16,Blank_16,Blank,NA
SQ531_Blank_17,Blank_17,Blank,NA
