Metabolite	Formula	InChIKey	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S09199	S09200	S09201	S09202	S09203	S09204	S09205	S09206	S09207	S09208	S09209	S09210	S09211	S09212	S09213	S09214	S09215	S09216	S09217	S09218	S09219	S09220	S09221	S09222	S09223	S09224	S09225	S09226	S09227	S09228	S09229	S09230	S09231	S09232	S09233	S09234	S09235	S09236	S09237	S09238	S09239	S09240	S09241	S09242	S09243	S09244	S09245	S09246	S09247	S09248	S09249	S09250	S09251	S09252	S09253	S09254	S09255	S09256	S09257	S09258	S09259	S09260	S09261	S09262	S09263	S09264	S09265	S09266	S09267	S09268	S09269	S09270	S09271	S09272	S09273	S09274	S09275	S09276	S09277	S09278	S09279	S09280	S09281	S09282	S09283	S09284	S09285	S09286	S09287	S09288	S09289	S09290	S09291	S09292	S09293	S09294	S09295	S09296	S09297	S09298	S09299	S09300	S09301	S09302	S09303	S09304	S09305	S09306	S09307	S09308	S09309	S09310	S09311	S09312	S09313	S09314	S09315	S09316	S09317	S09318	SQ531_Blank_0	SQ531_Blank_1	SQ531_Blank_2	SQ531_Blank_3	SQ531_Blank_4	SQ531_Blank_5	SQ531_Blank_6	SQ531_Blank_7	SQ531_Blank_8	SQ531_Blank_9	SQ531_Blank_10	SQ531_Blank_11	SQ531_Blank_12	SQ531_Blank_13	SQ531_Blank_14	SQ531_Blank_15	SQ531_Blank_16	SQ531_Blank_17
Creatinine	C4H7N3O	DDRJAANPRJIHGJ-UHFFFAOYSA-N	[M-H]-	0	0.3	15	0.2	112.0516	112.0502	-12.8	SQ531_Blank_4	0.13	0.12	0.14	0.01	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Indoleacetaldehyde	C10H9NO	WHOOUMGHGSPMGR-UHFFFAOYSA-N	[M-H]-	0	0.3	15	0.2	158.0611	158.0599	-7.8	SQ531_Blank_3	0.13	0.01	0.33	0.32	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-Methyl-4-pentenoic acid	C6H10O2	QNPZXLANENFTFK-UHFFFAOYSA-N	[M-H]-	0	0.3	15	0.2	113.0608	113.0594	-12.4	SQ531_ISTD_8	0.13	0.01	0.32	0.32	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malonic acid	C3H4O4	OFOBLEOULBTSOW-UHFFFAOYSA-N	[M-H]-	2.4	2.9	15	0.2	103.0037	103.0023	-13.4	SQ531_Blank_13	2.63	2.43	2.71	0.28	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ethylphosphonic acid	C2H7O3P	GATNOFPXSDHULC-UHFFFAOYSA-N	[M-H-H2O]-	0	0.3	15	0.2	90.9954	90.9957	2.8	S09200	0.13	0.03	0.33	0.3	10	0	17762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"p-Acetamidophenol (Acetaminophen, Tylenol)"	C8H9NO2	RZVAJINKPMORJF-UHFFFAOYSA-N	[M-H]-	6.2	6.7	15	0.2	150.0561	150.0548	-8.3	S09226	6.39	6.19	6.57	0.38	57	4899420	2874972	1497732	6530162	466428	6586037	6408402	6301503	3979602	4948816	6411854	0	0	1322086	0	3144634	797839	5481125	308022	6940785	3450269	2856768	1266001	1863677	875266	1361577	7141310	10196353	3603473	3331957	991342	1386570	1791411	8967099	1814704	875397	2813221	2192365	1099415	740511	1054058	2460805	1521256	4439452	4245153	927056	1246765	3354779	1519602	990754	644908	242267	608184	601063	137788	193698	216029	284783	319178	1320470	1363112	737862	2237018	0	6005778	2348781	10008974	7402292	5911335	9234539	0	0	2317408	7722183	0	0	0	841504	0	0	2768970	1039425	1092726	0	0	0	1406948	7535990	0	1897018	1115422	6494342	2529716	2577426	686634	3823750	1857305	537280	3179111	10953534	470873	6170061	1067130	674712	2481812	917344	1352855	463241	850914	1402433	234420	524782	855164	1394114	908696	309773	852229	856789	2134243	2033689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactic acid	C3H6O3	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	[M-H]-	0	0.4	15	0.2	89.0244	89.0231	-14.8	S09226	0.05	0.01	0.24	0.23	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17784556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glycine	C2H5NO2	DHMQDGOQFOQNFH-UHFFFAOYSA-N	[M-H]-	0	0.4	15	0.2	74.0248	74.0236	-15.6	SQ531_Blank_4	0.13	0.01	0.32	0.32	31	0	0	0	163918	0	0	0	0	0	0	0	0	0	0	147893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	253229	0	0	0	0	0	0	165157	0	0	0	414938	0	0	118381	0	0	0	0	138661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sarcosine	C3H7NO2	FSYKKLYZXJSNPZ-UHFFFAOYSA-N	[M-H]-	0	0.4	15	0.2	88.0404	88.0391	-14.8	S09226	0.14	0.01	0.21	0.2	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphoric acid	H3O4P	NBIIXXVUZAFLBC-UHFFFAOYSA-N	[M-H]-	14.1	14.6	15	0.2	96.9696	96.9682	-14.7	S09226	14.1	14.08	14.3	0.22	49	0	0	0	14335959	0	23830830	21943444	16058633	15314502	22976716	23818518	17750634	12347778	16222807	13373064	11667541	11703042	15962968	0	13774552	13662485	15708178	0	12213181	11725204	39634752	32988442	44671988	39690164	37981800	0	0	0	0	0	30407760	22369652	22354142	0	26576596	0	0	0	0	0	0	38759180	31617056	0	0	0	0	0	0	0	0	0	0	0	32506888	0	0	0	0	14251418	0	0	14943010	0	0	0	18930928	28142702	33538432	0	0	0	0	0	0	22003002	21765710	28755876	27630168	0	0	0	0	0	0	0	0	14031524	16415956	0	0	0	0	13922277	0	16076324	22966294	25856356	12906783	14482460	0	22306834	0	18585004	22568992	0	0	0	22268616	17186722	0	0	18827598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
