,Skeleton_Metabolite,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,detections,S07147,S07148,S07149,S07150,S07151,S07152,S07153,S07154,S07155,S07156,S07157,S07158,S07159,S07160,S07161,S07162,S07163,S07164,S07165,S07166,S07167,S07168,S07169,S07170,S07171,S07172,S07173,S07174,S07175,S07176,S07177,S07178,S07179,S07180,S07181,S07182,S07183,S07184,S07185,S07186,SQ425_B_0,SQ425_B_1,SQ425_B_2,SQ425_B_3,SQ425_B_4,SQ425_B_5,SQ425_B_6,SQ425_B_7
0,CE(16:1); [M+NH4]+; 16:1 Cholesteryl ester,1         CE(16:1); [M+NH4]+; 16:1 Cholesteryl ester,640.6016,,17.9,18.4,15,1.0,640.6016,640.6021,0.8,S07175,18.11,18.09,18.15,0.06,44,366246,203578,472801,1264575,764955,475481,219037.0,534924,126327,310734,563458,434155,300640,512038,1247141,58398.0,4789676,3975667,879950.0,2324780,3169836,2367466,5260898,2632220.0,2065255,4140264,2816943,1371412,7880968,2015879,915007,261114,836132,367815,81084.0,2716.0,1222288,151121,328168,42456,1563,936,0,1386,0,0,914,0
1,CE(18:0); [M+NH4]+; 18:0 Cholesteryl ester,2         CE(18:0); [M+NH4]+; 18:0 Cholesteryl ester,670.6385,,18.2,18.4,15,1.0,670.6385,670.6384,-0.1,S07173,18.43,18.21,18.44,0.22,48,388407,150236,606958,1425452,935260,414842,49569.0,726952,154308,310387,1044530,455050,174480,643599,1701270,55791.0,685176,1328526,430277.0,783288,760268,886356,780528,462969.0,693134,911018,2149200,404645,2137066,548632,1187733,189787,721268,505563,15218.0,1042.0,185404,27336,40708,23589,1037,1129,738,886,861,976,868,750
2,CE(18:1); [M+NH4]+; 18:1 Cholesteryl ester,3         CE(18:1); [M+NH4]+; 18:1 Cholesteryl ester,668.6326,,18.2,18.4,15,1.0,668.6326,668.6326,0.0,S07175,18.43,18.31,18.44,0.13,46,3283726,1152166,5185100,11621176,7500774,3402434,433740.0,5865982,1222945,2541060,9054575,3845748,1461766,5280803,13414390,449189.0,5376670,10869304,3657359.0,6696699,6052174,7544458,6529248,3870562.0,5924007,7687745,16837654,3150329,17414576,4369728,9669959,1616094,6325561,4069032,143396.0,9017.0,1574752,236441,385570,169795,1057,2942,933,911,0,691,0,1475
3,CE(18:2); [M+NH4]+; 18:2 Cholesteryl ester,4         CE(18:2); [M+NH4]+; 18:2 Cholesteryl ester,666.6174,,17.9,18.4,15,1.0,666.6174,666.6177,0.5,S07175,18.11,18.11,18.17,0.06,48,2971505,1319281,4483636,6466284,4280497,2588622,1479437.0,3320803,917853,1698731,4862796,2786352,1628829,2374498,4710616,460654.0,91997472,94358664,5803290.0,12398602,51805956,32790916,91960944,33060490.0,81020232,85968480,39222424,18912416,102846736,18715620,5735484,1273597,3708298,2038920,1411249.0,18777.0,18087764,3310212,5918076,432296,1010,2767,3354,2793,3025,2926,4642,3886
4,CE(18:3); [M+NH4]+; 18:3 Cholesteryl ester,5         CE(18:3); [M+NH4]+; 18:3 Cholesteryl ester,664.6029,,17.6,18.1,15,1.0,664.6029,664.6017,-1.8,S07164,17.83,17.82,17.85,0.03,40,139940,92534,237874,329116,203332,108594,51174.0,158687,48229,84057,184688,190504,82020,134319,363592,18510.0,4739677,9445221,241085.0,555810,2248864,1468612,4919633,1290282.0,3198050,5163909,1915890,664598,8638542,512274,292500,70277,158296,93843,58667.0,940.0,417082,62001,219103,22833,0,0,0,0,0,0,0,0
5,CE(20:0); [M+NH4]+; 20:0 Cholesteryl ester,6         CE(20:0); [M+NH4]+; 20:0 Cholesteryl ester,698.6074,,15.6,16.1,15,1.0,698.6074,698.6074,0.0,S07183,15.84,15.73,16.09,0.36,33,3181,0,2166,9792,0,1657,0.0,3319,1046,0,952,1782,0,1002,3778,0.0,274797,73814,13672.0,23036,21073,74206,29013,13923.0,15967,62310,23083,16100,18992,43857,8180,0,6379,11754,470525.0,28988.0,1738426,906628,49397,12985,0,0,0,0,0,0,0,0
6,CE(20:1); [M+NH4]+; 20:1 Cholesteryl ester,7         CE(20:1); [M+NH4]+; 20:1 Cholesteryl ester,696.5919,,15.6,16.1,15,1.0,696.5919,696.5919,0.0,S07183,15.77,15.76,16.04,0.28,26,0,0,0,1407,0,0,0.0,0,0,1069,1400,0,0,0,1036,0.0,231836,81987,4521.0,13725,20929,37404,48956,13555.0,6412,49913,14375,9503,23933,13071,1646,0,0,2288,526544.0,7631.0,1684541,1374503,25630,5586,0,0,0,0,0,0,0,0
7,CE(20:3); [M+NH4]+; 20:3 Cholesteryl ester,8         CE(20:3); [M+NH4]+; 20:3 Cholesteryl ester,692.6326,,17.9,18.4,15,1.0,692.6326,692.6229,-14.0,S07164,17.93,17.92,18.17,0.26,40,1126833,726272,2193087,2394822,2370767,1349491,249182.0,1534883,415756,689867,2510285,1137932,821648,1104586,2607273,222987.0,19597110,22448124,313859.0,989098,3215154,2467620,13061546,2810614.0,8946296,15012190,4422051,758773,12070409,743504,2439402,822817,2084501,953659,176484.0,1343.0,1027727,80028,469193,24911,0,0,0,0,0,0,0,0
8,CE(20:4); [M+NH4]+; 20:4 Cholesteryl ester,9         CE(20:4); [M+NH4]+; 20:4 Cholesteryl ester,690.617,,17.6,18.1,15,1.0,690.617,690.6172,0.3,S07164,17.93,17.68,17.98,0.3,45,3457036,1753278,6289706,5537224,4737913,2827880,1838750.0,4189020,1259398,1872142,4573481,3035686,1784796,2265271,4119673,538650.0,139853200,163214272,2355520.0,7124927,23332230,18209438,94859464,21075546.0,71705656,109328552,32554898,5881922,90512824,5518792,5234470,1459789,3544088,2192201,1276520.0,17462.0,7253645,486568,3499386,188164,0,890,1077,761,0,0,3408,2186
9,CE(20:5); [M+NH4]+; 20:5 Cholesteryl ester,10         CE(20:5); [M+NH4]+; 20:5 Cholesteryl ester,688.6017,,17.4,17.9,15,1.0,688.6017,688.6016,-0.1,S07164,17.63,17.44,17.74,0.3,47,352844,293781,753865,709184,595593,346885,191499.0,584613,132840,240463,577664,313088,223241,235970,725630,70775.0,26711780,41717232,297457.0,502846,3048908,1591616,13126277,2773909.0,13946994,19409502,2504732,557749,20006826,494722,666050,148853,433640,291413,186515.0,4969.0,901039,62058,644701,27644,1048,1186,807,0,979,808,903,1009
10,CE(22:4); [M+NH4]+; 22:4 Cholesteryl ester,11         CE(22:4); [M+NH4]+; 22:4 Cholesteryl ester,718.6485,,17.9,18.4,15,1.0,718.6485,718.6479,-0.8,S07149,18.2,17.94,18.37,0.43,41,1202809,623419,2732290,2099716,1972905,1297832,110440.0,1857412,456286,634684,2117965,1039888,866843,1085053,1791657,168987.0,216764,236321,9252.0,16888,45182,37026,154272,40596.0,97767,97985,60235,13588,233391,10838,2659943,619776,1715344,926252,3724.0,798.0,11345,705,6869,0,870,0,0,0,0,711,0,0
11,CE(22:6); [M+NH4]+; 22:6 Cholesteryl ester,12         CE(22:6); [M+NH4]+; 22:6 Cholesteryl ester,714.6178,,17.5,18.0,15,1.0,714.6178,714.6173,-0.7,S07163,17.74,17.66,17.75,0.09,42,2285793,1286356,3479274,2287742,3135462,1895240,717571.0,3942953,678955,1143909,2510814,1634744,1395120,900587,3141227,317573.0,70314928,61848084,294573.0,844926,7512165,3658762,52479620,7109940.0,29648596,33186956,5739594,861494,43365400,563157,3177830,1115415,2103295,1214447,138440.0,5904.0,751010,70527,688126,37089,0,0,703,0,0,0,0,906
12,DG 34:1; [M+NH4]+; DG(16:0/18:1/0:0),13         DG 34:1; [M+NH4]+; DG(16:0/18:1/0:0),612.5555,,15.0,15.5,15,1.0,612.5555,612.5555,0.0,S07153,15.24,15.22,15.27,0.05,48,317742,416452,160496,232586,478432,395580,2323678.0,448987,160309,149951,225543,177652,238215,238368,1011546,319430.0,73388,157295,76446.0,51743,90051,56951,1085412,60762.0,60568,219350,58901,88409,73073,68844,912580,370528,362086,258357,70578.0,59345.0,87596,75544,61823,52246,54289,58319,49112,47761,44137,50134,49357,54053
13,DG 34:2; [M+NH4]+; DG(16:1/18:1/0:0),14         DG 34:2; [M+NH4]+; DG(16:1/18:1/0:0),610.54,,14.4,14.9,15,1.0,610.54,610.5401,0.2,S07153,14.64,14.62,14.75,0.14,48,95454,116060,34448,59357,157485,131533,2064789.0,137870,42323,46664,102793,48289,85448,49401,290051,142168.0,28610,44203,18826.0,12644,11375,17376,673156,10861.0,14107,62479,12893,16601,16628,16720,267311,64818,93078,46542,20280.0,16673.0,39895,37523,14291,14556,8828,9211,8386,9840,8394,7341,8211,8501
14,DG 36:2; [M+NH4]+; DG(18:1/18:1/0:0),15         DG 36:2; [M+NH4]+; DG(18:1/18:1/0:0),638.571,,15.0,15.5,15,1.0,638.571,638.5713,0.5,S07153,15.28,15.26,15.3,0.03,48,250046,256969,121408,144309,349846,261203,2990520.0,273386,114214,123159,135027,139052,172448,203873,942027,307733.0,97011,147358,101461.0,80743,84963,78178,1421762,74099.0,111815,158198,95228,176647,102555,95506,847276,221110,236053,198626,76150.0,70457.0,86587,94441,76868,69524,81803,82417,64632,78386,71801,71648,76614,82432
15,DG 36:3; [M+NH4]+; DG(18:1/18:2/0:0),16         DG 36:3; [M+NH4]+; DG(18:1/18:2/0:0),636.5553,,14.5,15.0,15,1.0,636.5553,636.5553,0.0,S07153,14.75,14.72,14.78,0.06,48,89764,81914,30317,34110,106200,88233,2332766.0,105055,34821,31850,60329,57437,74402,49510,228103,147404.0,27474,73950,38907.0,16391,16885,26715,1254780,15952.0,21464,52742,19205,27713,19880,26583,125451,60658,77694,53344,16779.0,15403.0,22447,24175,17999,14235,14797,14193,15422,12802,14670,13757,15577,12543
16,PC 15:0; [M+HCOO]-; GPCho(2:0/13:0),17         PC 15:0; [M+HCOO]-; GPCho(2:0/13:0),540.3296,,2.5,3.0,15,1.0,540.3296,540.3315,3.5,S07180,2.92,2.77,2.96,0.18,10,0,0,0,0,0,0,1333.0,1005,740,642,703,0,0,0,1133,587.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,979,0,715,4437,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
17,PC 15:0; [M+HCOO]-; GPCho(5:0/10:0),18         PC 15:0; [M+HCOO]-; GPCho(5:0/10:0),540.3299,,2.5,3.0,15,1.0,540.3299,540.3315,3.0,S07180,2.92,2.77,2.96,0.18,10,0,0,0,0,0,0,1333.0,1005,740,642,703,0,0,0,1133,587.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,979,0,715,4437,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
18,PC 15:0; [M-Ac-H]-; GPCho(3:0/12:0),19         PC 15:0; [M-Ac-H]-; GPCho(3:0/12:0),554.3449,,2.5,3.0,15,1.0,554.3449,554.3473,4.3,S07147,2.57,2.57,2.57,0.0,1,767,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
19,PC 17:0; [M+HCOO]-; GPCho(2:0/15:0),20         PC 17:0; [M+HCOO]-; GPCho(2:0/15:0),568.361,,3.4,3.9,15,1.0,568.361,568.3675,11.4,S07180,3.42,3.39,3.86,0.47,38,2211,2778,4390,725,1391,3074,12324.0,3463,3094,1043,3995,1389,2731,3624,9461,607.0,0,732,933.0,975,724,0,829,1003.0,0,2760,1252,704,5004,880,3321,3790,3372,26120,1060.0,2486.0,997,1050,865,0,0,0,0,0,710,0,0,641
20,PC 17:0; [M+HCOO]-; GPCho(8:0/9:0),21         PC 17:0; [M+HCOO]-; GPCho(8:0/9:0),568.3613,,3.4,3.9,15,1.0,568.3613,568.3675,10.9,S07180,3.42,3.37,3.84,0.48,38,2211,2778,4390,823,1391,3592,12324.0,3603,3094,953,3995,1389,2731,3624,9461,607.0,0,732,933.0,1003,724,0,829,1003.0,0,2760,1252,714,5004,880,3321,3791,3372,26120,1060.0,2486.0,997,1050,865,0,0,0,0,0,710,0,0,641
21,PC 17:0; [M-Ac-H]-; GPCho(2:0/15:0),22         PC 17:0; [M-Ac-H]-; GPCho(2:0/15:0),582.3767,,3.4,3.9,15,1.0,582.3767,582.3708,-10.1,S07159,3.61,3.43,3.68,0.24,6,752,0,0,743,0,0,0.0,855,0,0,0,0,1100,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,777,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,571,0,0,0,0
22,PC 17:0; [M-Ac-H]-; GPCho(3:0/14:0),23         PC 17:0; [M-Ac-H]-; GPCho(3:0/14:0),582.3769,,3.4,3.9,15,1.0,582.3769,582.3708,-10.5,S07159,3.61,3.43,3.68,0.24,7,752,0,0,743,0,0,0.0,855,0,0,0,0,1100,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,777,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,571,0,0,750,0
23,PC 17:1; [M+HCOO]-; GPCho(2:0/15:1(9Z)),24         PC 17:1; [M+HCOO]-; GPCho(2:0/15:1(9Z)),566.3454,,2.6,3.1,15,1.0,566.3454,566.3471,3.0,S07174,2.86,2.64,3.02,0.38,7,0,0,638,0,0,772,0.0,0,705,0,0,0,0,755,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,815,0,0,0,0,0,0,0.0,0.0,0,0,0,676,0,0,795,0,0,0,0,0
24,PC 17:1; [M-Ac-H]-; GPCho(2:0/15:1(9Z)),25         PC 17:1; [M-Ac-H]-; GPCho(2:0/15:1(9Z)),580.3611,,2.6,3.1,15,1.0,580.3611,580.3599,-2.1,S07183,2.7,2.62,3.07,0.45,25,0,0,0,0,0,2019,0.0,828,722,0,0,0,0,822,0,916.0,11691,15191,650.0,0,0,1922,7250,1372.0,1517,4315,963,900,1066,1303,0,1057,1041,0,10204.0,1074.0,43276,20889,5793,0,0,0,0,0,773,0,0,0
25,PC 34:1; [M+HCOO]-; GPCho(10:0/24:1(15Z)),26         PC 34:1; [M+HCOO]-; GPCho(10:0/24:1(15Z)),804.5753,,13.6,14.1,15,1.0,804.5753,804.5646,-13.3,S07164,13.86,13.84,14.08,0.24,48,6571,6884,7810,5036,10986,6700,6649.0,6047,5743,5306,5353,5253,6046,6781,10531,8494.0,35802,141467,7177.0,7373,7187,9110,19701,5422.0,10071,21484,8660,7546,6743,6132,9689,7410,5814,6415,2698.0,8744.0,4684,7604,7534,6797,6308,5529,8249,6450,8297,4676,6742,4946
26,PC 34:1; [M+HCOO]-; GPCho(16:1(7Z)/18:0),27         PC 34:1; [M+HCOO]-; GPCho(16:1(7Z)/18:0),804.5753,,13.6,14.1,15,1.0,804.5753,804.5646,-13.3,S07164,13.86,13.84,14.09,0.24,48,6571,6884,7810,5036,10986,6700,7885.0,6047,5743,5417,7973,5253,6046,6781,10531,8494.0,35802,141467,7177.0,7373,7187,9110,19701,5422.0,10071,21484,8660,8366,6743,6132,9689,7410,5814,6415,2698.0,8744.0,4684,12158,7534,6797,8266,5529,8249,6450,8297,6200,6742,8615
27,PC 34:1; [M+HCOO]-; GPCho(17:0/17:1(9Z)),28         PC 34:1; [M+HCOO]-; GPCho(17:0/17:1(9Z)),804.5751,,13.6,14.1,15,1.0,804.5751,804.5646,-13.1,S07164,13.86,13.84,14.08,0.24,48,6571,6884,7810,5036,10986,6700,6649.0,6047,5743,5306,5353,5253,6046,6781,10531,8494.0,35802,141467,7177.0,7373,7187,9110,19701,5422.0,10071,21484,8660,7546,6743,6132,9689,7410,5814,6415,2698.0,8744.0,13587,7604,7534,6797,6308,5529,8249,6450,8297,4676,6742,4946
28,PC 34:1; [M+HCOO]-; GPCho(8:0/26:1(5Z)),29         PC 34:1; [M+HCOO]-; GPCho(8:0/26:1(5Z)),804.5768,,13.6,14.1,15,1.0,804.5768,804.5647,-15.0,S07163,13.88,13.88,14.07,0.19,48,6571,5447,7810,5036,10986,6700,6649.0,6047,5743,5306,5353,5253,5505,6781,10531,8494.0,35802,3693,7177.0,6146,7187,5494,12793,5422.0,10071,6024,8660,7546,6743,6132,9689,7410,5814,5576,2598.0,5202.0,4684,7464,7534,6015,6308,5529,8249,6450,8297,4676,6742,4946
29,PC 34:2; [M+HCOO]-; GPCho(17:1(9Z)/17:1(9Z)),30         PC 34:2; [M+HCOO]-; GPCho(17:1(9Z)/17:1(9Z)),802.5593,,12.3,12.8,15,1.0,802.5593,802.5515,-9.7,S07172,12.5,12.39,12.72,0.33,7,0,0,0,827,0,0,0.0,0,0,0,664,0,720,0,0,0.0,5430,0,0.0,0,0,0,0,0.0,0,7718,0,0,1132,0,895,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
