Metabolite	Formula	Labeling	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S07897	S07898	S07899	S07900	S07901	S07902	S07903	S07904	S07905	S07906	S07907	S07908	S07909	S07910	S07911	S07912	S07913	S07914	S07915	S07916	SQ464_B_0	SQ464_B_1	SQ464_B_2	SQ464_B_3	SQ464_B_4	SQ464_B_5	SQ464_ISTD_0	SQ464_ISTD_1	SQ464_ISTD_2
1-Methylnicotinamide	C7H8N2O		[M+H]+	19.0	21.0	15.0	0.2	137.0709	137.0713	2.6	S07911	Yes	20.58	20.35	20.78	0.43	29	6810	7268	7947	5983	6963	2994	7551	3081	6175	6023	3131	7077	7131	6228	10013	5832	2806	6465	6447	7952	7914	3978	2881	5567	6063	7070	8372	3469	3038
"2,3-Diphosphoglyceric acid"	C3H8O10P2		[M-H]-	12.0	15.0	15.0	0.2	264.9520	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-Hydroxybutyric acid	C4H8O3		[M-H]-	5.7	7.7	15.0	0.2	103.0401	103.0389	-11.3	SQ464_ISTD_0	Yes	6.74	6.52	6.97	0.46	29	7953	7713	8709	7588	7758	9803	7489	8444	7296	7142	8332	10085	7961	11467	9667	9477	7902	8347	10324	6283	10331	10722	10961	8358	7512	9942	26374	18776	16821
3-Phosphoglyceric acid	C3H7O7P		[M-H]-	13.0	15.0	15.0	0.2	184.9857	184.9873	8.8	SQ464_B_3	Yes	13.52	13.52	13.52	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1151	0	0	0	0	0
"4,5-Dihydroorotic acid"	C5H6N2O4		[M-H]-	7.5	9.5	15.0	0.2	157.0255	157.0238	-10.7	SQ464_B_5	Yes	8.12	7.93	8.26	0.33	8	0	0	0	0	0	0	0	0	0	1155	1357	0	0	1390	0	1229	0	0	1077	0	0	0	0	0	0	1895	0	1110	1312
4-Hydroxyproline	C5H9NO3		[M+H]+	10.2	11.2	15.0	0.2	132.0655	132.0658	2.1	SQ464_B_0	Yes	10.46	10.22	10.70	0.47	29	19792	20840	20024	18713	20417	15553	20692	16808	18457	21236	18601	20965	10662	14077	14743	9226	10384	11106	12630	10897	26834	15098	10486	9738	13668	11921	14032	10821	9923
5'-Methylthioadenosine	C11H15N5O3S		[M+H]+	3.0	5.0	15.0	0.2	298.0968	298.0994	8.6	S07901	Yes	3.23	3.23	3.23	0.00	1	0	0	0	0	8107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-Phosphoribosylamine	C5H12NO7P		[M-H]-	11.5	13.5	15.0	0.2	228.0279	228.0254	-10.8	S07906	Yes	12.97	12.77	12.97	0.20	2	0	0	0	0	0	1242	0	0	0	1420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6-Phosphogluconic acid	C6H13O10P		[M-H]-	14.0	17.0	15.0	0.2	275.0174	275.0214	14.7	S07907	Yes	16.46	16.46	16.46	0.00	1	0	0	0	0	0	0	0	0	0	0	1685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetoacetic acid	C4H6O3		[M-H]-	8.3	10.3	15.0	0.2	101.0244	101.0233	-11.1	S07897	Yes	9.87	9.68	10.10	0.42	29	34735	13727	18579	11151	13532	15035	14522	14991	17104	14255	13867	13401	13547	12924	16307	13116	15010	13748	13719	14217	14814	13367	15708	12062	12625	14000	13865	13452	12158
