Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S09012	S09013	S09014	S09015	S09016	S09017	S09018	S09019	S09020	S09021	SQ515_Blank_0	SQ515_Blank_1	SQ515_Blank_2	SQ515_Blank_3	SQ515_Blank_4	SQ515_Blank_5	SQ515_ISTD_0	SQ515_ISTD_1	SQ515_ISTD_2
1-Methylnicotinamide	C7H8N2O	[M+H]+	19.0	21.0	15.0	0.2	137.0709	137.0708	-1.0	S09012	19.03	19.01	19.28	0.27	19	60339	32051	43577	36914	37023	35679	30508	34480	22321	38544	19615	10455	17226	11747	15883	7857	14706	12002	6512
"2,3-Diphosphoglyceric acid"	C3H8O10P2	[M-H]-	12.0	15.0	15.0	0.2	264.9520	264.9480	-15.1	S09012	13.82	13.73	13.82	0.09	2	1539	1168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3-Hydroxybutyric acid	C4H8O3	[M-H]-	5.7	7.7	15.0	0.2	103.0401	103.0387	-13.3	S09012	7.30	7.27	7.55	0.28	19	2169571	2076246	1826480	1985256	1864843	1871216	1890378	1913446	1706066	2113353	1397490	1402272	1434586	1438608	1471535	1523780	1422241	1435610	1509811
3-Phosphoglyceric acid	C3H7O7P	[M-H]-	13.0	15.0	15.0	0.2	184.9857	184.9849	-4.1	S09012	14.63	14.43	14.88	0.44	15	28018	9413	10115	8701	8797	21902	19310	6136	10599	19683	0	0	3463	1108	1994	0	0	2432	1247
"4,5-Dihydroorotic acid"	C5H6N2O4	[M-H]-	7.5	9.5	15.0	0.2	157.0255	157.0249	-3.7	S09013	8.51	8.27	8.66	0.39	15	8366	8673	5715	8286	6242	4729	2525	2439	5529	2318	2423	0	0	1195	1707	2075	0	0	1189
4-Hydroxyproline	C5H9NO3	[M+H]+	10.2	11.2	15.0	0.2	132.0655	132.0637	-13.8	S09019	11.01	10.77	11.19	0.41	9	0	0	0	0	0	0	0	937993	0	0	22114	25113	0	16696	60840	16704	22804	21753	13913
5'-Methylthioadenosine	C11H15N5O3S	[M+H]+	3.0	5.0	15.0	0.2	298.0968	298.0967	-0.5	S09021	4.46	4.25	4.62	0.38	17	143717	70196	149605	114403	160374	109077	90565	45518	117826	266063	3172	0	3398	0	7236	1981	2429	2205	2584
5-Phosphoribosylamine	C5H12NO7P	[M-H]-	11.5	13.5	15.0	0.2	228.0279	228.0271	-3.4	S09012	12.99	12.78	12.99	0.21	6	2728	1434	0	0	0	1788	1231	1395	0	1239	0	0	0	0	0	0	0	0	0
6-Phosphogluconic acid	C6H13O10P	[M-H]-	14.0	17.0	15.0	0.2	275.0174	275.0167	-2.4	S09012	15.02	15.02	15.17	0.15	3	3421	0	0	0	0	2973	1102	0	0	0	0	0	0	0	0	0	0	0	0
Acetoacetic acid	C4H6O3	[M-H]-	8.3	10.3	15.0	0.2	101.0244	101.0231	-13.1	S09021	9.61	9.46	9.82	0.36	19	417561	185127	356419	271032	200813	298048	385695	319956	261611	506842	20578	16608	22823	18592	18475	21131	17553	18545	17626
Acetyl-CoA	C23H38N7O17P3S	[M+H]+	8.0	11.0	15.0	0.2	810.1331	810.1440	13.5	S09012	10.39	10.39	10.46	0.07	2	13148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2002	0
Acetylcysteine	C5H9NO3S	[M+H]+	6.0	8.0	15.0	0.2	164.0376	164.0374	-1.2	S09014	7.21	6.97	7.30	0.33	14	146932	296384	437169	146036	180168	162948	48944	151407	207640	90815	2049	2592	0	0	2165	0	0	2821	0
Adenine	C5H5N5	[M+H]+	5.0	7.0	15.0	0.2	136.0618	136.0615	-2.0	S09014	6.36	6.18	6.61	0.43	19	14722257	16620149	20616472	16648619	14790478	11870275	15097437	20530844	10136840	18761948	478389	551194	670440	644087	714742	641442	412416	526177	529652
Adenosine	C10H13N5O4	[M+H]+	4.5	7.0	15.0	0.2	268.1040	268.1032	-3.1	S09021	5.98	5.76	6.09	0.33	19	36590896	38184356	45285748	27876074	35264204	32260642	40769744	38263140	26783772	48203572	73788	28146	465037	59484	280695	65009	19583	108674	81193
Adenosine diphosphate ribose	C15H23N5O14P2	[M-H]-	10.9	12.9	15.0	0.2	558.0644	558.0614	-5.4	S09018	11.89	11.88	12.01	0.13	12	39282	36652	47643	122604	126882	114759	221698	54266	98947	92577	0	0	1469	0	2991	0	0	0	0
Adenosine monophosphate	C10H14N5O7P	[M+H]+	9.8	11.8	15.0	0.2	348.0704	348.0688	-4.5	S09021	10.85	10.60	10.88	0.28	19	8030280	3622335	7464082	4623064	4693298	7494667	7939181	4664831	5086837	8668914	160712	10069	1070016	56681	921549	57303	26555	265539	170225
Adenosine triphosphate	C10H16N5O13P3	[M-H]-	12.5	14.5	15.0	0.2	505.9885	505.9872	-2.5	S09012	14.42	14.23	14.46	0.22	12	18916	1283	0	2217	1637	2101	1593	0	1489	2065	1372	0	1486	1131	0	1119	0	0	0
Adenylsuccinic acid	C14H18N5O11P	[M-H]-	14.5	16.5	15.0	0.2	462.0668	462.0655	-2.8	S09012	15.74	15.58	15.75	0.17	17	80849	22163	38100	28228	36279	43848	31385	17005	19498	26075	1157	0	4907	1274	5311	1842	0	1708	2076
ADP	C10H15N5O10P2	[M-H]-	11.1	13.1	15.0	0.2	426.0221	426.0215	-1.5	S09012	12.30	12.30	12.55	0.25	19	1087244	250953	369388	298308	276175	610937	440060	115207	332409	559922	29952	10044	41570	15411	56805	21244	14312	20244	28963
Allantoin	C4H6N4O3	[M-H]-	9.3	11.3	15.0	0.2	157.0367	157.0347	-12.8	SQ515_ISTD_2	10.01	10.01	10.01	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1219
Aminoadipic acid	C6H11NO4	[M-H]-	5.9	7.9	15.0	0.2	160.0615	160.0605	-6.5	S09021	6.14	5.96	6.34	0.38	19	200609	161896	291631	118427	200588	160327	316750	271956	207535	637498	5406	8059	8119	8331	6265	6012	6852	9055	11878
Argininosuccinic acid	C10H18N4O6	[M-H]-	12.5	14.5	15.0	0.2	289.1154	289.1145	-3.0	S09014	13.58	13.48	13.68	0.20	15	55664	30255	60472	37909	33654	36555	48671	34063	23609	57713	1770	0	6013	0	6397	0	0	1749	1188
