Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S10228	S10229	S10230	S10231	S10232	S10233	S10234	S10235	SQ567_Blank_0	SQ567_Blank_1	SQ567_Blank_2	SQ567_Blank_3	SQ567_Blank_4	SQ567_Blank_5
1-Methylnicotinamide	1         1-Methylnicotinamide	C7H8N2O	[M+H]+	19.0	21.0	15.0	0.2	137.0709	137.071	0.4	SQ567_Blank_0	20.66	20.42	20.9	0.48	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2,3-Diphosphoglyceric acid	2         2,3-Diphosphoglyceric acid	C3H8O10P2	[M-H]-	12.0	15.0	15.0	0.2	264.952	0.0	0.0		0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-Hydroxybutyric acid	3         3-Hydroxybutyric acid	C4H8O3	[M-H]-	5.7	7.7	15.0	0.2	103.0401	103.0387	-13.3	S10230	6.73	6.51	6.97	0.46	17	0.34085955353430303	0.3837868576122775	0.5103066933952872	0.27319502611950075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-Phosphoglyceric acid	4         3-Phosphoglyceric acid	C3H7O7P	[M-H]-	13.0	15.0	15.0	0.2	184.9857	184.9854	-1.4	S10235	13.09	13.04	13.09	0.05	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4,5-Dihydroorotic acid	5         4,5-Dihydroorotic acid	C5H6N2O4	[M-H]-	7.5	9.5	15.0	0.2	157.0255	157.0241	-8.8	S10230	7.69	7.59	7.85	0.26	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4-Hydroxyproline	6         4-Hydroxyproline	C5H9NO3	[M+H]+	10.2	11.2	15.0	0.2	132.0655	132.0673	13.5	S10230	10.67	10.43	10.77	0.34	17	5.286543601387232	7.577432680656718	7.677678771093223	5.17660605257195	7.573852144242722	9.714304605563157	9.674711075913713	9.629878364006675	0.0	0.0	0.0	0.0	0.0	0.0
5'-Methylthioadenosine	7         5'-Methylthioadenosine	C11H15N5O3S	[M+H]+	3.0	5.0	15.0	0.2	298.0968	298.0967	-0.5	S10231	4.43	4.19	4.43	0.24	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5-Phosphoribosylamine	8         5-Phosphoribosylamine	C5H12NO7P	[M-H]-	11.5	13.5	15.0	0.2	228.0279	228.0252	-11.7	S10228	13.15	13.15	13.15	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6-Phosphogluconic acid	9         6-Phosphogluconic acid	C6H13O10P	[M-H]-	14.0	17.0	15.0	0.2	275.0174	275.0166	-2.8	SQ567_Blank_0	16.8	16.8	16.8	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetoacetic acid	10         Acetoacetic acid	C4H6O3	[M-H]-	8.3	10.3	15.0	0.2	101.0244	101.0232	-12.1	S10230	9.87	9.66	10.08	0.42	17	0.18739849833620545	0.19374687268436375	0.2605839673558004	0.14668984901270424	0.08384252092541374	0.09208481532147744	0.09743190417648223	0.11214034762500988	0.0	0.0	0.0	0.0	0.0	0.0
