Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S09190	S09191	S09192	S09193	S09194	S09195	S09196	S09197	S09198	SQ530_Blank_0	SQ530_Blank_1	SQ530_Blank_2	SQ530_Blank_3	SQ530_Blank_4	SQ530_Blank_5	SQ530_ISTD_0	SQ530_ISTD_1	SQ530_ISTD_2
1-Methylnicotinamide	1         1-Methylnicotinamide	C7H8N2O	[M+H]+	19.0	21.0	15.0	0.2	137.0709	137.0707	-1.7	SQ530_Blank_0	19.3	19.06	19.55	0.49	18	6973	4974	7693	9938	5851	7952	6039	5683	9568	14188	7972	5104	7391	5566	6859	8871	6152	3452
2,3-Diphosphoglyceric acid	2         2,3-Diphosphoglyceric acid	C3H8O10P2	[M-H]-	12.0	15.0	15.0	0.2	264.952	264.9499	-7.9	SQ530_Blank_5	14.96	14.84	14.99	0.16	8	0	0	0	0	0	2870	0	0	0	1742	0	2280	2637	1201	6690	1784	1148	0
3-Hydroxybutyric acid	3         3-Hydroxybutyric acid	C4H8O3	[M-H]-	5.7	7.7	15.0	0.2	103.0401	103.0388	-12.3	S09194	7.41	7.32	7.65	0.33	18	1925403	1988801	1966183	1992092	2001793	1868714	1868157	1802422	1940056	1638470	1632202	1707951	1699677	1707809	1719238	1623593	1691456	1721683
3-Phosphoglyceric acid	4         3-Phosphoglyceric acid	C3H7O7P	[M-H]-	13.0	15.0	15.0	0.2	184.9857	184.9849	-4.1	S09195	14.79	14.66	14.98	0.32	18	7268	7087	8440	16519	11788	40346	16609	4134	12343	1535	1118	2360	1803	2394	1504	1345	1905	1687
4,5-Dihydroorotic acid	5         4,5-Dihydroorotic acid	C5H6N2O4	[M-H]-	7.5	9.5	15.0	0.2	157.0255	157.0249	-3.7	S09198	8.59	8.42	8.78	0.37	16	9084	7473	10219	9136	9771	8601	5398	9361	13054	2184	1403	0	1719	1609	1270	1714	0	1898
4-Hydroxyproline	6         4-Hydroxyproline	C5H9NO3	[M+H]+	10.2	11.2	15.0	0.2	132.0655	132.0661	4.4	S09192	10.85	10.78	10.93	0.15	18	676894	865509	1047665	787843	816978	980474	1007944	785694	893430	127291	25475	123807	18925	68826	14432	43432	32144	16885
5'-Methylthioadenosine	7         5'-Methylthioadenosine	C11H15N5O3S	[M+H]+	3.0	5.0	15.0	0.2	298.0968	298.0965	-1.1	S09195	4.33	4.17	4.46	0.3	18	696831	1503087	2047518	1846815	1447051	2773152	2626496	1669366	2296880	7810	2598	11584	1700	7922	1860	2684	3301	2469
5-Phosphoribosylamine	8         5-Phosphoribosylamine	C5H12NO7P	[M-H]-	11.5	13.5	15.0	0.2	228.0279	228.0267	-5.1	S09196	13.0	13.0	13.08	0.08	3	0	0	0	0	0	4003	6193	0	2632	0	0	0	0	0	0	0	0	0
6-Phosphogluconic acid	9         6-Phosphogluconic acid	C6H13O10P	[M-H]-	14.0	17.0	15.0	0.2	275.0174	275.0167	-2.4	S09195	15.34	15.3	15.58	0.28	9	0	0	3306	2115	0	13488	0	0	0	1327	1173	1786	1567	1315	0	0	1206	0
Acetoacetic acid	10         Acetoacetic acid	C4H6O3	[M-H]-	8.3	10.3	15.0	0.2	101.0244	101.0233	-11.1	S09193	9.94	9.74	10.18	0.45	18	91619	110300	97640	145633	119737	135244	109581	88940	102433	25625	21054	61477	33350	48120	27741	21320	42031	34399
Acetyl-CoA	11         Acetyl-CoA	C23H38N7O17P3S	[M+H]+	8.0	11.0	15.0	0.2	810.1331	810.1438	13.3	S09196	8.8	8.8	8.8	0.0	1	0	0	0	0	0	0	7263	0	0	0	0	0	0	0	0	0	0	0
