File,id,Group,Color
S10141,DJM 1,Plasma,#FF0000
S10142,DJM 2,Plasma,#FF0000
S10143,DJM 3,Plasma,#FF0000
S10144,DJM 4,Plasma,#FF0000
S10145,DJM 5,Plasma,#FF0000
S10146,DJM 6,Plasma,#FF0000
S10147,DJM 7,Plasma,#FF0000
S10148,DJM 8,Plasma,#FF0000
S10149,DJM 9,Plasma,#FF0000
S10150,DJM 10,Plasma,#FF0000
S10151,DJM 11,Plasma,#FF0000
S10152,DJM 12,Liver,#0000FF
S10153,DJM 13,Liver,#0000FF
S10154,DJM 14,Liver,#0000FF
S10155,DJM 15,Liver,#0000FF
S10156,DJM 16,Liver,#0000FF
S10157,DJM 17,Liver,#0000FF
S10158,DJM 18,Liver,#0000FF
S10159,DJM 19,Liver,#0000FF
S10160,DJM 20,Liver,#0000FF
S10161,DJM 21,Liver,#0000FF
S10162,DJM 22,Liver,#0000FF
SQ564_Blank_0,Blank_0,Blank,NA
SQ564_Blank_1,Blank_1,Blank,NA
SQ564_Blank_2,Blank_2,Blank,NA
SQ564_Blank_3,Blank_3,Blank,NA
SQ564_Blank_4,Blank_4,Blank,NA
SQ564_Blank_5,Blank_5,Blank,NA
SQ564_Blank_6,Blank_6,Blank,NA
SQ564_Blank_7,Blank_7,Blank,NA
