File	id	Group
S10141	DJM 1	Plasma
S10142	DJM 2	Plasma
S10143	DJM 3	Plasma
S10144	DJM 4	Plasma
S10145	DJM 5	Plasma
S10146	DJM 6	Plasma
S10147	DJM 7	Plasma
S10148	DJM 8	Plasma
S10149	DJM 9	Plasma
S10150	DJM 10	Plasma
S10151	DJM 11	Plasma
S10152	DJM 12	Liver
S10153	DJM 13	Liver
S10154	DJM 14	Liver
S10155	DJM 15	Liver
S10156	DJM 16	Liver
S10157	DJM 17	Liver
S10158	DJM 18	Liver
S10159	DJM 19	Liver
S10160	DJM 20	Liver
S10161	DJM 21	Liver
S10162	DJM 22	Liver
SQ564_Blank_0	Blank_0	Blank
SQ564_Blank_1	Blank_1	Blank
SQ564_Blank_2	Blank_2	Blank
SQ564_Blank_3	Blank_3	Blank
SQ564_Blank_4	Blank_4	Blank
SQ564_Blank_5	Blank_5	Blank
SQ564_Blank_6	Blank_6	Blank
SQ564_Blank_7	Blank_7	Blank
