Metabolite	Formula	Labeling	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	is_global_winner	RT	RT_min	RT_max	RT_range	detections	S10141	S10142	S10143	S10144	S10145	S10146	S10147	S10148	S10149	S10150	S10151	S10152	S10153	S10154	S10155	S10156	S10157	S10158	S10159	S10160	S10161	S10162	SQ564_Blank_0	SQ564_Blank_1	SQ564_Blank_2	SQ564_Blank_3	SQ564_Blank_4	SQ564_Blank_5	SQ564_Blank_6	SQ564_Blank_7	SQ564_LQC_0	SQ564_LQC_1	SQ564_LQC_2	SQ564_LQC_3
TG 50:3; [M+NH4]+; TG(16:0/16:1/18:2)-13C,13C-0,18	C53H96O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.4	2.4	10.0	1.0	864.8149	864.8206	6.6	S10158	Yes	1.50	1.50	2.24	0.74	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10416	0	0	0	0	0	3226	0	2768	0	0	3427	2637	0	2712	2647	0
TG 50:2; [M+NH4]+; TG(16:0/16:1/18:1)-13C,13C-0,18	C53H98O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.6	2.6	10.0	1.0	866.8306	866.8292	-1.6	S10157	Yes	1.66	1.58	2.54	0.96	9	0	0	0	0	2871	0	0	0	0	0	0	0	3040	0	3042	0	3938	0	0	2632	0	0	0	2642	0	2907	2462	0	0	2422	0	0	0	0
N-(15Z-tetracosenoyl)-sphing-4-enine; [M+H]+; Cer(d18:1(4E)/24:1(15Z))-13C,13C-0,18	C42H81NO3-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	1.6	2.6	10.0	1.0	666.6893	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-(docosanoyl)-sphing-4-enine; [M+H]+; Cer(d18:1(4E)/22:0)-13C,13C-0,18	C40H79NO3-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	1.6	2.6	10.0	1.0	640.6737	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N-(tetracosanoyl)-sphing-4-enine; [M+H]+; Cer(d18:1(4E)/24:0)-13C,13C-0,18	C42H83NO3-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	1.7	2.7	10.0	1.0	668.7050	668.7062	1.9	S10160	Yes	2.40	2.40	2.40	0.00	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3515	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 56:2; [M+NH4]+; TG(16:0/18:1/22:1)-13C,13C-0,18	C59H110O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	1.8	2.8	10.0	1.0	950.9245	950.9337	9.7	SQ564_LQC_3	Yes	2.01	2.01	2.62	0.62	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2481	0	0	0	0	2815
"MGDG 40:6; [M-H]-; MGDG(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))"-13C,13C-0,18	C49H82O10-13C,13C-0,18	"13C[0],13C[18]"	[M-H]-	2.3	3.3	10.0	1.0	847.6439	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG 54:2; [M+NH4]+; TG(16:0/18:1/20:1)-13C,13C-0,18	C57H106O6-13C,13C-0,18	"13C[0],13C[18]"	[M+NH4]+	2.6	3.6	10.0	1.0	922.8932	922.8961	3.2	S10146	Yes	2.90	2.70	2.90	0.19	2	0	0	0	0	0	9512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2588	0	0	0	0	0	0	0	0	0	0
N-(9Z-octadecenoyl)-sphing-4-enine; [M+H]+; Cer(d18:1(4E)/18:1(9Z))-13C,13C-0,18	C36H69NO3-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	2.7	3.7	10.0	1.0	582.5954	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 40:6; [M+H]+; GPEtn(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))"-13C,13C-0,18	C45H78NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	3.0	4.0	10.0	1.0	810.6142	810.6125	-2.1	S10161	Yes	2.98	2.98	3.62	0.63	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2580	0	0	0	0	0	0	0	0	2291	0	0	0	0
PE 36:2; [M+H]+; GPEtn(18:1(11E)/18:1(11E))-13C,13C-0,18	C41H78NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	3.1	4.1	10.0	1.0	762.6142	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 36:4; [M+H]+; GPEtn(18:2(2E,4E)/18:2(2E,4E))"-13C,13C-0,18	C41H74NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	3.1	4.1	10.0	1.0	758.5829	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 40:8; [M+H]+; GPEtn(20:4(5E,8E,11E,14E)/20:4(5E,8E,11E,14E))"-13C,13C-0,18	C45H74NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	8.4	9.4	10.0	1.0	806.5829	806.5816	-1.6	S10142	Yes	9.28	8.35	9.28	0.93	4	0	3025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2914	0	0	0	0	0	0	0	0	0	2298	2535	0	0	0
PE 34:2; [M+H]+; GPEtn(17:1(9Z)/17:1(9Z))-13C,13C-0,18	C39H74NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	9.0	10.0	10.0	1.0	734.5829	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PE 40:4; [M+H]+; GPEtn(20:2(11Z,14Z)/20:2(11Z,14Z))"-13C,13C-0,18	C45H82NO8P-13C,13C-0,18	"13C[0],13C[18]"	[M+H]+	9.3	10.3	10.0	1.0	814.6455	0.0000	0.0		Yes	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
