Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S03916	S03917	S03918	S03919	S03920	SQ290_B_0	SQ290_B_1	SQ290_B_2	SQ290_B_3	SQ290_B_4	SQ290_B_5
1-Methylnicotinamide	C7H8N2O	[M+H]+	15.3	17.3	10	0.2	137.0709	137.0708	-1.3	S03920	16.94	16.81	17.18	0.36	11	1535253	2118203	2453754	2401850	4233009	4834	5831	5205	4386	6534	2246
"2,3-Diphosphoglyceric acid"	C3H8O10P2	[M-H]-	12	15	10	0.2	264.952	264.9502	-6.8	SQ290_B_4	14.8	14.7	14.81	0.11	3	1154	0	898	0	0	0	0	0	0	1311	0
3-Hydroxybutyric acid	C4H8O3	[M-H]-	5.7	7.7	10	0.2	103.0401	103.0392	-8.1	SQ290_B_0	5.73	5.73	5.91	0.18	11	8110	12155	10047	11846	5822	16706	13117	11123	13782	13620	11017
3-Phosphoglyceric acid	C3H7O7P	[M-H]-	13	15	10	0.2	184.9857	184.9856	-0.2	S03919	14.12	13.93	14.32	0.39	5	0	936	856	1183	0	0	0	0	932	830	0
"4,5-Dihydroorotic acid"	C5H6N2O4	[M-H]-	7.5	9.5	10	0.2	157.0255	157.0246	-5.6	S03920	8.45	8.38	8.66	0.29	11	1433	4029	995	1521	2854508	1579	895	1509	1095	1572	902
4-Hydroxyproline	C5H9NO3	[M+H]+	10.2	11.2	10	0.2	132.0655	132.0657	1.5	S03918	10.78	10.63	10.84	0.22	11	75852080	95976200	106377896	106136840	25706384	15166	10774	22615	8012	70437	9298
5'-Methylthioadenosine	C11H15N5O3S	[M+H]+	3	5	10	0.2	298.0968	298.0944	-8.3	S03917	3.97	3.82	4.12	0.3	6	1404	1507	1438	0	0	0	0	0	1287	1242	1245
5-Phosphoribosylamine	C5H12NO7P	[M-H]-	11.5	13.5	10	0.2	228.0279	228.0282	1.7	S03919	13.3	13.3	13.3	0	1	0	0	0	2042	0	0	0	0	0	0	0
6-Phosphogluconic acid	C6H13O10P	[M-H]-	14	17	10	0.2	275.0174	275.0194	7.5	S03920	16.11	16.11	16.11	0	1	0	0	0	0	989	0	0	0	0	0	0
Acetoacetic acid	C4H6O3	[M-H]-	8.3	10.3	10	0.2	101.0244	101.0235	-9	SQ290_B_0	9.5	9.29	9.72	0.43	11	15260	17664	13773	14732	12615	26736	12309	11911	11996	11976	12061
Acetyl-CoA	C23H38N7O17P3S	[M+H]+	8	11	10	0.2	810.1331	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetylcysteine	C5H9NO3S	[M+H]+	6	8	10	0.2	164.0376	164.0379	1.8	S03919	6.97	6.97	7.06	0.09	4	1501	1619	1604	2884	0	0	0	0	0	0	0
Adenine	C5H5N5	[M+H]+	5	7	10	0.2	136.0618	136.0615	-1.9	S03918	6.1	6.07	6.22	0.15	11	1077216	1181618	1950228	1516659	1278324	272004	32502	39699	36426	60938	45193
Adenosine	C10H13N5O4	[M+H]+	4.5	7	10	0.2	268.104	268.1042	0.8	SQ290_B_0	5.65	5.58	5.8	0.22	11	1375	1273	1367	1651	5093	9525	7442	6568	8352	7096	6709
Adenosine diphosphate ribose	C15H23N5O14P2	[M-H]-	10.9	12.9	10	0.2	558.0644	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adenosine monophosphate	C10H14N5O7P	[M+H]+	9.8	11.8	10	0.2	348.0704	348.0675	-8.2	S03918	10.74	10.7	10.82	0.13	9	5618	0	15537	8363	2829	15032	5426	1797	1616	1353	0
Adenosine triphosphate	C10H16N5O13P3	[M-H]-	12.5	14.5	10	0.2	505.9885	505.9876	-1.8	S03919	13.48	13.42	13.64	0.22	9	1463	1153	963	2316	0	1459	1097	1483	0	1229	1218
Adenylsuccinic acid	C14H18N5O11P	[M-H]-	14.5	16.5	10	0.2	462.0668	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADP	C10H15N5O10P2	[M-H]-	11.1	13.1	10	0.2	426.0221	426.0227	1.3	S03918	12.16	12.14	12.39	0.25	5	2213	2012	4231	0	0	1762	0	0	0	1304	0
Allantoin	C4H6N4O3	[M-H]-	9.3	11.3	10	0.2	157.0367	157.0362	-3.4	S03919	10.38	10.31	10.48	0.18	6	0	3522	4590	4861	2290	0	1019	0	1040	0	0
Aminoadipic acid	C6H11NO4	[M-H]-	5.9	7.9	10	0.2	160.0615	160.0619	2.5	SQ290_B_0	5.97	5.94	6.19	0.25	11	12299	15185	13232	13010	14347	16940	8194	10862	14085	11195	9796
Argininosuccinic acid	C10H18N4O6	[M-H]-	12.5	14.5	10	0.2	289.1154	289.1153	-0.3	S03919	13.61	13.48	13.63	0.15	7	28425	29213	23538	35045	5937	0	0	994	0	991	0
Beta-Alanine	C3H7NO2	[M+H]+	9.8	10.5	10	0.2	90.055	90.0553	3.9	SQ290_B_0	9.82	9.82	10.06	0.24	11	13923	12129	14786	11556	11494	31180	17144	11803	11099	12199	12133
Betaine	C5H11NO2	[M+H]+	7	8.2	10	0.2	118.0863	118.0862	-0.2	S03919	7.7	7.63	7.73	0.09	11	612433	749218	786423	786936	233655	232664	161982	195238	197220	179011	180002
Butyrylcarnitine	C11H21NO4	[M+H]+	4.2	6.2	10	0.2	232.1543	232.1541	-1.2	S03918	5.35	5.19	5.51	0.32	11	12704	12489	14910	13561	5648	6256	5711	5779	6384	5982	6258
